utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text_8.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,key_resp.keys,clk.started,sad.started,sad.stopped,text_2.started,clk.stopped,text_2.stopped,key_resp.rt,text_9.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
13,0,13,0,,,,,,,,,,,,,,,,,27.905043999984628,27.905043999984628,27.905043999984628,27.905043999984628,27.905043999984628,q,0.13095099999918602,28.052906700002495,28.052906700002495,28.455083699984243,28.455083699984243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
14,0,14,0,,,,,,,,,,,,,,,,,28.455083699984243,28.455083699984243,28.455083699984243,28.455083699984243,28.455083699984243,q,0.08017289999406785,28.554226200008998,28.554226200008998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
15,0,15,0,,,,,,,,,,,,,,,,,28.9713413999998,28.9713413999998,28.9713413999998,28.9713413999998,28.9713413999998,q,0.06989610000164248,29.06901320000179,29.06901320000179,29.470887300005415,29.470887300005415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
16,0,16,0,,,,,,,,,,,,,,,,,29.470887300005415,29.470887300005415,29.470887300005415,29.470887300005415,29.470887300005415,q,0.043782199994893745,29.535523300000932,29.535523300000932,29.93749499999103,29.93749499999103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
17,0,17,0,,,,,,,,,,,,,,,,,29.93749499999103,29.93749499999103,29.93749499999103,29.93749499999103,29.93749499999103,q,0.05777660000603646,30.01862610000535,30.01862610000535,30.420300800004043,30.420300800004043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
18,0,18,0,,,,,,,,,,,,,,,,,30.420300800004043,30.420300800004043,30.420300800004043,30.420300800004043,30.420300800004043,q,0.05746859998907894,30.501716800004942,30.501716800004942,30.90343489998486,30.90343489998486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
19,0,19,0,,,,,,,,,,,,,,,,,30.90343489998486,30.90343489998486,30.90343489998486,30.90343489998486,30.90343489998486,q,0.1013391999877058,31.04069910000544,31.04069910000544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
20,0,20,0,,,,,,,,,,,,,,,,,31.45369299998856,31.45369299998856,31.45369299998856,31.45369299998856,31.45369299998856,q,0.0336574999964796,31.51782819998334,31.51782819998334,31.919944699999178,31.919944699999178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
21,0,21,0,,,,,,,,,,,,,,,,,31.919944699999178,31.919944699999178,31.919944699999178,31.919944699999178,31.919944699999178,q,0.041570199973648414,31.984297499991953,31.984297499991953,32.38621979998425,32.38621979998425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
22,0,22,0,,,,,,,,,,,,,,,,,32.38621979998425,32.38621979998425,32.38621979998425,32.38621979998425,32.38621979998425,q,0.056372799997916445,32.46721020000405,32.46721020000405,32.86949929999537,32.86949929999537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
23,0,23,0,,,,,,,,,,,,,,,,,32.86949929999537,32.86949929999537,32.86949929999537,32.86949929999537,32.86949929999537,q,0.0066559999831952155,32.900454199989326,32.900454199989326,33.30241340000066,33.30241340000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
24,0,24,0,,,,,,,,,,,,,,,,,33.30241340000066,33.30241340000066,33.30241340000066,33.30241340000066,33.30241340000066,q,0.24752609999268316,33.5666196999955,33.5666196999955,33.968746600003215,33.968746600003215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
25,0,25,0,,,,,,,,,,,,,,,,,33.968746600003215,33.968746600003215,33.968746600003215,33.968746600003215,33.968746600003215,q,0.04999239998869598,34.03315850000945,34.03315850000945,34.43507669999963,34.43507669999963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
26,0,26,0,,,,,,,,,,,,,,,,,34.43507669999963,34.43507669999963,34.43507669999963,34.43507669999963,34.43507669999963,q,0.08323219997691922,34.53292130000773,34.53292130000773,34.934959400008665,34.934959400008665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
27,0,27,0,,,,,,,,,,,,,,,,,34.934959400008665,34.934959400008665,34.934959400008665,34.934959400008665,34.934959400008665,w,0.15838010000879876,35.11598899998353,35.11598899998353,35.51805320000858,35.51805320000858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
28,0,28,0,,,,,,,,,,,,,,,,,35.51805320000858,35.51805320000858,35.51805320000858,35.51805320000858,35.51805320000858,w,0.0016835000133141875,35.54941919998964,35.54941919998964,35.95106379999197,35.95106379999197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
29,0,29,0,,,,,,,,,,,,,,,,,35.95106379999197,35.95106379999197,35.95106379999197,35.95106379999197,35.95106379999197,w,0.20529589999932796,36.1820432000095,36.1820432000095,36.584163399995305,36.584163399995305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
30,0,30,0,,,,,,,,,,,,,,,,,36.584163399995305,36.584163399995305,36.584163399995305,36.584163399995305,36.584163399995305,w,0.031602000002749264,36.63196389999939,36.63196389999939,37.0335880999919,37.0335880999919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
31,0,31,0,,,,,,,,,,,,,,,,,37.0335880999919,37.0335880999919,37.0335880999919,37.0335880999919,37.0335880999919,w,0.023882999987108633,37.0816027999972,37.0816027999972,37.48340910000843,37.48340910000843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
32,0,32,0,,,,,,,,,,,,,,,,,37.48340910000843,37.48340910000843,37.48340910000843,37.48340910000843,37.48340910000843,w,0.02291170001262799,37.53123560000677,37.53123560000677,37.9334216999996,37.9334216999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
33,0,33,0,,,,,,,,,,,,,,,,,37.9334216999996,37.9334216999996,37.9334216999996,37.9334216999996,37.9334216999996,o,0.03268309999839403,37.98123909998685,37.98123909998685,38.38296839999384,38.38296839999384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
34,0,34,0,,,,,,,,,,,,,,,,,38.38296839999384,38.38296839999384,38.38296839999384,38.38296839999384,38.38296839999384,o,0.00335279997671023,38.41425729999901,38.41425729999901,38.816257600003155,38.816257600003155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
35,0,35,0,,,,,,,,,,,,,,,,,38.816257600003155,38.816257600003155,38.816257600003155,38.816257600003155,38.816257600003155,o,0.1867915000184439,39.03062050000881,39.03062050000881,39.432372099981876,39.432372099981876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
36,0,36,0,,,,,,,,,,,,,,,,,39.432372099981876,39.432372099981876,39.432372099981876,39.432372099981876,39.432372099981876,o,0.1748412000015378,39.630266099993605,39.630266099993605,40.032219199987594,40.032219199987594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
37,0,37,0,,,,,,,,,,,,,,,,,40.032219199987594,40.032219199987594,40.032219199987594,40.032219199987594,40.032219199987594,o,0.0422215000144206,40.096896100003505,40.096896100003505,40.49874949999503,40.49874949999503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
38,0,38,0,,,,,,,,,,,,,,,,,40.49874949999503,40.49874949999503,40.49874949999503,40.49874949999503,40.49874949999503,p,0.13436809997074306,40.663194199994905,40.663194199994905,41.06534619999002,41.06534619999002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
39,0,39,0,,,,,,,,,,,,,,,,,41.06534619999002,41.06534619999002,41.06534619999002,41.06534619999002,41.06534619999002,p,0.20693409998784773,41.29614620000939,41.29614620000939,41.698119100008626,41.698119100008626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
40,0,40,0,,,,,,,,,,,,,,,,,41.698119100008626,41.698119100008626,41.698119100008626,41.698119100008626,41.698119100008626,p,0.01420420000795275,41.729145099991,41.729145099991,42.131305399991106,42.131305399991106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
41,0,41,0,,,,,,,,,,,,,,,,,42.131305399991106,42.131305399991106,42.131305399991106,42.131305399991106,42.131305399991106,p,0.0169834999833256,42.17888550000498,42.17888550000498,42.58122769999318,42.58122769999318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
42,0,42,0,,,,,,,,,,,,,,,,,42.58122769999318,42.58122769999318,42.58122769999318,42.58122769999318,42.58122769999318,p,0.20801450000726618,42.81200109998463,42.81200109998463,43.21401369999512,43.21401369999512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
43,0,43,0,,,,,,,,,,,,,,,,,43.21401369999512,43.21401369999512,43.21401369999512,43.21401369999512,43.21401369999512,w,0.03792289999546483,43.27963989999262,43.27963989999262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
44,0,44,0,,,,,,,,,,,,,,,,,43.69688259999384,43.69688259999384,43.69688259999384,43.69688259999384,43.69688259999384,w,0.18623520000255667,43.91147029999411,43.91147029999411,44.31338659999892,44.31338659999892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
45,0,45,0,,,,,,,,,,,,,,,,,44.31338659999892,44.31338659999892,44.31338659999892,44.31338659999892,44.31338659999892,w,0.0013051999849267304,44.34477229998447,44.34477229998447,44.74653350000153,44.74653350000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
46,0,46,0,,,,,,,,,,,,,,,,,44.74653350000153,44.74653350000153,44.74653350000153,44.74653350000153,44.74653350000153,q,0.19761099998140708,44.960894299991196,44.960894299991196,45.36276039999211,45.36276039999211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_11h41.11.461,bandit task,2022.2.5,60.03006306086641,
