utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text_8.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,key_resp.keys,key_resp.rt,clk.started,clk.stopped,sad.started,text_2.started,sad.stopped,text_2.stopped,text_9.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.35751540004276,233.35751540004276,233.35751540004276,233.35751540004276,233.35751540004276,233.35751540004276,233.35751540004276,233.35751540004276,233.35751540004276,q,0.01697670016437769,233.38755000010133,233.38755000010133,233.38755000010133,233.38755000010133,233.79478050000034,233.79478050000034,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.79478050000034,233.79478050000034,233.79478050000034,233.79478050000034,233.79478050000034,233.79478050000034,233.79478050000034,233.79478050000034,233.79478050000034,w,0.38270810013636947,234.19129079999402,234.19129079999402,234.19129079999402,234.19129079999402,234.59401540015824,234.59401540015824,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.59401540015824,234.59401540015824,234.59401540015824,234.59401540015824,234.59401540015824,234.59401540015824,234.59401540015824,234.59401540015824,234.59401540015824,o,0.0317718000151217,234.63576730014756,234.63576730014756,234.63576730014756,234.63576730014756,235.03780510020442,235.03780510020442,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.03780510020442,235.03780510020442,235.03780510020442,235.03780510020442,235.03780510020442,235.03780510020442,235.03780510020442,235.03780510020442,235.03780510020442,p,0.37728989985771477,235.43075640010647,235.43075640010647,235.43075640010647,235.43075640010647,235.83652670006268,235.83652670006268,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.83652670006268,235.83652670006268,235.83652670006268,235.83652670006268,235.83652670006268,235.83652670006268,235.83652670006268,235.83652670006268,235.83652670006268,w,0.08171249995939434,235.93083160021342,235.93083160021342,235.93083160021342,235.93083160021342,236.33631990011781,236.33631990011781,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.33631990011781,236.33631990011781,236.33631990011781,236.33631990011781,236.33631990011781,236.33631990011781,236.33631990011781,236.33631990011781,236.33631990011781,q,0.3491335997823626,236.69951519998722,236.69951519998722,236.69951519998722,236.69951519998722,237.10792030021548,237.10792030021548,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.10792030021548,237.10792030021548,237.10792030021548,237.10792030021548,237.10792030021548,237.10792030021548,237.10792030021548,237.10792030021548,237.10792030021548,p,0.050339699955657125,237.17135670012794,237.17135670012794,237.17135670012794,237.17135670012794,237.57994500012137,237.57994500012137,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.57994500012137,237.57994500012137,237.57994500012137,237.57994500012137,237.57994500012137,237.57994500012137,237.57994500012137,237.57994500012137,237.57994500012137,o,0.389808600069955,237.98451280011795,237.98451280011795,237.98451280011795,237.98451280011795,238.39237000001594,238.39237000001594,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.39237000001594,238.39237000001594,238.39237000001594,238.39237000001594,238.39237000001594,238.39237000001594,238.39237000001594,238.39237000001594,238.39237000001594,q,0.17504230001941323,238.57571980007924,238.57571980007924,238.57571980007924,238.57571980007924,238.98201970010996,238.98201970010996,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
,,,,,,,,60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.98201970010996,238.98201970010996,238.98201970010996,238.98201970010996,238.98201970010996,238.98201970010996,238.98201970010996,238.98201970010996,238.98201970010996,p,0.1104135001078248,239.1045811001677,239.1045811001677,239.1045811001677,239.1045811001677,239.51059600012377,239.51059600012377,,,,,,,,,,,,,,,12312,sdfsdfs,2023-04-13_19h18.40.037,bandit task,2022.2.5,143.83046401651688,
