utrials.thisRepN,utrials.thisTrialN,utrials.thisN,utrials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,uIntrotext.started,uenter_resp.started,uenter_resp.keys,uenter_resp.rt,ukey_resp.started,Q.started,W.started,O.started,P.started,ukey_resp.keys,ukey_resp.rt,sad1.started,text_3.started,sad1.stopped,text_3.stopped,text_8.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text.started,enterresp.started,enterresp.keys,enterresp.rt,Optionq.started,optionw.started,optiono.started,Optionp.started,key_resp.started,Ql.started,Wl.started,Ol.started,Pl.started,Optionq.stopped,optionw.stopped,optiono.stopped,Optionp.stopped,key_resp.stopped,Ql.stopped,Wl.stopped,Ol.stopped,Pl.stopped,key_resp.keys,clk.started,sad.started,sad.stopped,text_2.started,clk.stopped,text_2.stopped,key_resp.rt,text_9.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_4.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,19.142982400022447,19.142982400022447,space,8.086751299677417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfsd,weeew,2023-04-13_19h28.23.764,bandit task,2022.2.5,144.84650623637756,
0,0,0,0,,,,,,,,,,,,,,,,,27.269146300153807,27.269146300153807,27.269146300153807,27.269146300153807,27.269146300153807,q,0.44837290002033114,27.737938500009477,27.737938500009477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfsd,weeew,2023-04-13_19h28.23.764,bandit task,2022.2.5,144.84650623637756,
1,0,1,0,,,,,,,,,,,,,,,,,28.13478700001724,28.13478700001724,28.13478700001724,28.13478700001724,28.13478700001724,o,0.24767689988948405,28.39346280018799,28.39346280018799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfsd,weeew,2023-04-13_19h28.23.764,bandit task,2022.2.5,144.84650623637756,
2,0,2,0,,,,,,,,,,,,,,,,,28.80126260011457,28.80126260011457,28.80126260011457,28.80126260011457,28.80126260011457,p,0.2213488998822868,29.03108930005692,29.03108930005692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfsd,weeew,2023-04-13_19h28.23.764,bandit task,2022.2.5,144.84650623637756,
3,0,3,0,,,,,,,,,,,,,,,,,29.436074000084773,29.436074000084773,29.436074000084773,29.436074000084773,29.436074000084773,w,0.1472895999904722,29.59622410009615,29.59622410009615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfsd,weeew,2023-04-13_19h28.23.764,bandit task,2022.2.5,144.84650623637756,
4,0,4,0,,,,,,,,,,,,,,,,,30.0027573001571,30.0027573001571,30.0027573001571,30.0027573001571,30.0027573001571,q,0.1661564998794347,30.18163220002316,30.18163220002316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfsd,weeew,2023-04-13_19h28.23.764,bandit task,2022.2.5,144.84650623637756,
5,0,5,0,,,,,,,,,,,,,,,,,30.585859399987385,30.585859399987385,30.585859399987385,30.585859399987385,30.585859399987385,o,0.1710956997703761,30.767698100069538,30.767698100069538,31.169298000168055,31.169298000168055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfsd,weeew,2023-04-13_19h28.23.764,bandit task,2022.2.5,144.84650623637756,
6,0,6,0,,,,,,,,,,,,,,,,,31.169298000168055,31.169298000168055,31.169298000168055,31.169298000168055,31.169298000168055,p,0.18513729982078075,31.367360700154677,31.367360700154677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfsd,weeew,2023-04-13_19h28.23.764,bandit task,2022.2.5,144.84650623637756,
7,0,7,0,,,,,,,,,,,,,,,,,31.773507200181484,31.773507200181484,31.773507200181484,31.773507200181484,31.773507200181484,q,0.1044894999358803,31.885451800189912,31.885451800189912,32.28685670020059,32.28685670020059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfsd,weeew,2023-04-13_19h28.23.764,bandit task,2022.2.5,144.84650623637756,
8,0,8,0,,,,,,,,,,,,,,,,,32.28685670020059,32.28685670020059,32.28685670020059,32.28685670020059,32.28685670020059,w,0.15040679997764528,32.45057270000689,32.45057270000689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sdfsd,weeew,2023-04-13_19h28.23.764,bandit task,2022.2.5,144.84650623637756,
