Roll Number, Payoff Condition, Trial Number, Total Penalty, Rep Choices ,
2, IOWA,18,694.5837508,9, 
2, IOWA,20,727.7011397,9, 
2, Equal Means,0,31.89228447,0, 
2, Equal Means,2,102.1255189,0, 
2, Equal Means,4,178.6579817,1, 
2, Equal Means,6,239.4551646,2, 
2, Equal Means,8,306.0288083,2, 
2, Equal Means,10,373.4458712,3, 
2, Equal Means,12,450.0253783,3, 
2, Equal Means,14,523.6552948,4, 
2, Equal Means,16,590.3606594,4, 
2, Equal Means,18,654.0430732,4, 
2, Equal Means,20,713.0772441,4, 
2, Equal Means,0,30.10615753,0, 
2, Equal Means,2,110.8296579,0, 
2, Equal Means,4,165.60052,0, 
2, Equal Means,6,228.5307071,1, 
2, Equal Means,8,294.1704354,1, 
2, Equal Means,10,349.1005535,1, 
2, Equal Means,12,412.0261144,1, 
2, Equal Means,14,492.5217142,1, 
2, Equal Means,16,553.7130511,1, 
2, Equal Means,18,629.2077554,1, 
2, Equal Means,20,673.8824159,1, 
2, Low Var,0,37.24586538,0, 
2, Low Var,2,89.11281461,0, 
2, Low Var,4,167.2592446,0, 
2, Low Var,6,219.8083721,0, 
2, Low Var,8,276.8330887,0, 
2, Low Var,10,339.1017858,0, 
2, Low Var,12,412.2447612,0, 
2, Low Var,14,467.6267647,0, 
2, Low Var,16,525.6802845,0, 
2, Low Var,18,586.4133109,1, 
2, Low Var,20,644.4208411,1, 
2, Low Var,0,33.46888424,0, 
2, Low Var,2,96.34529684,0, 
2, Low Var,4,166.1898917,1, 
2, Low Var,6,249.1143061,2, 
2, Low Var,8,314.6965972,3, 
2, Low Var,10,382.9337548,5, 
2, Low Var,12,421.3139913,6, 
2, Low Var,14,476.3207403,7, 
2, Low Var,16,515.4453929,8, 
2, Low Var,18,568.3376809,8, 
2, Low Var,20,646.8206329,8, 
2, High Var,0,32.77543662,0, 
2, High Var,2,101.0153038,0, 
2, High Var,4,130.9676204,0, 
2, High Var,6,183.5088244,0, 
2, High Var,8,230.3585243,0, 
2, High Var,10,255.6962932,0, 
2, High Var,12,282.1190968,0, 
2, High Var,14,350.349649,0, 
2, High Var,16,406.1429605,0, 
2, High Var,18,462.6385648,0, 
2, High Var,20,539.9740364,0, 
2, High Var,0,26.34119394,0, 
2, High Var,2,101.8655697,0, 
2, High Var,4,188.64546,0, 
2, High Var,6,263.6652478,0, 
2, High Var,8,345.2986244,1, 
2, High Var,10,405.9549199,1, 
2, High Var,12,438.7110703,1, 
2, High Var,14,507.10236,1, 
2, High Var,16,556.9144151,1, 
2, High Var,18,625.2862782,1, 
2, High Var,20,658.3019357,1, 
2, IOWA,0,22.80683441,0, 
2, IOWA,2,96.6722063,0, 
2, IOWA,4,146.0236182,1, 
2, IOWA,6,185.3986715,3, 
2, IOWA,8,227.6762798,5, 
2, IOWA,10,271.9735405,7, 
2, IOWA,12,337.8071615,8, 
2, IOWA,14,377.4521844,9, 
2, IOWA,16,468.45231,9, 
2, IOWA,18,513.9506012,10, 
2, IOWA,20,571.4243955,10, 
2, Low Var,0,22.56355165,0, 
2, Low Var,2,65.78985115,2, 
2, Low Var,4,103.2075125,4, 
2, Low Var,6,143.4771605,6, 
2, Low Var,8,194.664916,8, 
3, IOWA,0,25.50971016,0, 
3, IOWA,2,73.46834799,0, 
3, IOWA,4,127.0453464,0, 
3, IOWA,6,203.0544715,0, 
3, IOWA,8,258.156496,0, 
3, IOWA,10,308.4528838,0, 
3, IOWA,12,359.4097519,1, 
3, IOWA,14,411.2806367,2, 
3, IOWA,16,466.7450228,4, 
3, IOWA,18,521.1962511,5, 
3, IOWA,20,588.6919446,7, 
3, IOWA,0,42.32425444,0, 
3, IOWA,2,131.0720376,1, 
3, IOWA,4,206.0632474,2, 
3, IOWA,6,258.9804366,4, 
3, IOWA,8,311.4882278,6, 
3, IOWA,10,368.7155096,8, 
3, IOWA,12,430.3525057,9, 
3, IOWA,14,482.294256,10, 
3, IOWA,16,534.4256059,12, 
3, IOWA,18,582.190502,14, 
3, IOWA,20,632.5427537,16, 
3, Low Var,0,33.84119199,0, 
3, Low Var,2,96.43558161,2, 
3, Low Var,4,171.0566304,2, 
3, Low Var,6,241.761586,3, 
3, Low Var,8,313.3045874,3, 
3, Low Var,10,362.8605965,5, 
3, Low Var,12,413.0510391,7, 
3, Low Var,14,483.7441793,7, 
3, Low Var,16,534.7300328,8, 
3, Low Var,18,590.2678285,10, 
3, Low Var,20,670.0939795,11, 
3, Low Var,0,37.62363108,0, 
3, Low Var,2,121.8599316,2, 
3, Low Var,4,210.4099233,3, 
3, Low Var,6,278.2526096,4, 
3, Low Var,8,331.5857077,5, 
3, Low Var,10,394.4513441,6, 
3, Low Var,12,435.0149824,7, 
3, Low Var,14,493.2373684,9, 
3, Low Var,16,536.6321587,11, 
3, Low Var,18,591.0356012,11, 
3, Low Var,20,656.253888,11, 
3, Equal Means,0,23.75146947,0, 
3, Equal Means,2,82.85225289,2, 
3, Equal Means,4,155.0208979,3, 
3, Equal Means,6,231.8311048,4, 
3, Equal Means,8,308.0403957,5, 
3, Equal Means,10,376.7469979,6, 
3, Equal Means,12,437.7990836,8, 
3, Equal Means,14,503.524136,8, 
3, Equal Means,16,576.0213757,8, 
3, Equal Means,18,625.8521627,8, 
3, Equal Means,20,705.0890442,8, 
3, High Var,0,20.736472,0, 
3, High Var,2,74.67816592,2, 
3, High Var,4,134.3704866,4, 
3, High Var,6,189.6194895,6, 
3, High Var,8,265.2513149,6, 
3, High Var,10,348.9971359,6, 
3, High Var,12,420.5959027,8, 
3, High Var,14,522.8256762,8, 
3, High Var,16,607.2837494,9, 
3, High Var,18,693.0089006,10, 
3, High Var,20,784.3908153,11, 
3, IOWA,0,39.36044613,0, 
3, IOWA,2,110.7151711,0, 
3, IOWA,4,173.7726998,2, 
3, IOWA,6,201.4926603,4, 
3, IOWA,8,232.079438,6, 
3, IOWA,10,295.4903636,8, 
3, IOWA,12,357.6259657,10, 
3, IOWA,14,417.9158508,11, 
3, IOWA,16,494.98163,11, 
3, IOWA,18,543.9947718,13, 
3, IOWA,20,600.2276658,15, 
3, Equal Means,0,39.31721054,0, 
3, Equal Means,2,118.7849633,1, 
3, Equal Means,4,194.0480711,2, 
3, Equal Means,6,258.9635181,3, 
3, Equal Means,8,320.7852468,3, 
3, Equal Means,10,389.6414577,5, 
3, Equal Means,12,463.1546373,7, 
3, Equal Means,14,531.7103582,7, 
3, Equal Means,16,600.937017,7, 
3, Equal Means,18,667.9747359,7, 
3, Equal Means,20,757.5117932,7, 
3, IOWA,0,25.16877329,0, 
3, IOWA,2,70.43786809,2, 
3, IOWA,4,124.9056936,4, 
3, IOWA,6,171.6053825,6, 
3, IOWA,8,235.6440731,8, 
3, IOWA,10,295.9108815,9, 
3, IOWA,12,382.7736309,9, 
3, IOWA,14,434.3632245,10, 
3, IOWA,16,485.3517092,12, 
3, IOWA,18,540.2200279,14, 
3, IOWA,20,593.1931022,16, 
3, Equal Means,0,51.69314129,0, 
3, Equal Means,2,118.7916504,0, 
3, Equal Means,4,186.1348273,0, 
3, Equal Means,6,246.8874577,0, 
3, Equal Means,8,316.8582685,2, 
3, Equal Means,10,370.6565634,4, 
3, Equal Means,12,445.8629586,4, 
3, Equal Means,14,524.0875317,5, 
3, Equal Means,16,614.0129957,6, 
3, Equal Means,18,695.028925,7, 
3, Equal Means,20,779.1991399,9, 
3, Low Var,0,27.22758558,0, 
3, Low Var,2,92.67668125,0, 
3, Low Var,4,141.5752908,2, 
3, Low Var,6,191.8508584,4, 
3, Low Var,8,242.6926348,6, 
3, Low Var,10,298.2215658,8, 
3, Low Var,12,351.102403,10, 
3, Low Var,14,400.9554625,12, 
3, Low Var,16,449.5152257,14, 
3, Low Var,18,510.26026,16, 
3, Low Var,20,574.908585,16, 
3, High Var,0,31.63577676,0, 
3, High Var,2,93.54030228,2, 
3, High Var,4,160.534384,3, 
3, High Var,6,236.5833059,3, 
3, High Var,8,303.647443,5, 
4, IOWA,0,57.09287259,0, 
4, IOWA,2,157.3607778,0, 
4, IOWA,4,206.421094,1, 
4, IOWA,6,266.6930296,3, 
4, IOWA,8,353.1681039,5, 
4, IOWA,10,486.820261,6, 
4, IOWA,12,579.0548531,6, 
4, IOWA,14,722.310166,6, 
4, IOWA,16,805.5491898,6, 
4, IOWA,18,889.1234085,8, 
4, IOWA,20,959.9262234,10, 
4, IOWA,0,69.35772344,0, 
4, IOWA,2,155.2107792,1, 
4, IOWA,4,256.7053624,1, 
4, IOWA,6,338.6522735,2, 
4, IOWA,8,418.739548,4, 
4, IOWA,10,500.7704505,6, 
4, IOWA,12,581.0601677,8, 
4, IOWA,14,669.8599687,10, 
4, IOWA,16,758.7802628,11, 
4, IOWA,18,882.9708081,12, 
4, IOWA,20,957.6718146,13, 
4, High Var,0,54.81311116,0, 
4, High Var,2,166.1396523,0, 
4, High Var,4,248.4534441,0, 
4, High Var,6,350.2696131,0, 
4, High Var,8,427.8426336,2, 
4, High Var,10,512.0192925,4, 
4, High Var,12,592.287055,6, 
4, High Var,14,700.4275607,8, 
4, High Var,16,818.5242417,8, 
4, High Var,18,910.3950315,8, 
4, High Var,20,985.1334533,10, 
4, Low Var,0,64.14454032,0, 
4, Low Var,2,175.3866121,1, 
4, Low Var,4,280.5087557,3, 
4, Low Var,6,374.7015438,3, 
4, Low Var,8,470.8907786,3, 
4, Low Var,10,553.8991464,5, 
4, Low Var,12,633.8689437,7, 
4, Low Var,14,716.6904017,9, 
4, Low Var,16,791.3131743,11, 
4, Low Var,18,901.5202899,11, 
4, Low Var,20,992.390219,11, 
4, High Var,0,52.26111929,0, 
4, High Var,2,161.230978,1, 
4, High Var,4,246.1001031,2, 
4, High Var,6,378.5820457,3, 
4, High Var,8,456.7086788,4, 
4, High Var,10,534.3300331,6, 
4, High Var,12,629.7671217,8, 
4, High Var,14,717.39737,10, 
4, High Var,16,792.8623605,12, 
4, High Var,18,889.9077386,14, 
4, High Var,20,976.6788247,16, 
4, Equal Means,0,49.07819734,0, 
4, Equal Means,2,163.6565673,1, 
4, Equal Means,4,282.7186444,1, 
4, Equal Means,6,394.1826777,2, 
4, Equal Means,8,499.5227418,2, 
4, Equal Means,10,619.3226833,2, 
4, Equal Means,12,713.749191,4, 
4, Equal Means,14,805.481811,6, 
4, Equal Means,16,886.3470262,8, 
4, Equal Means,18,983.8102051,10, 
4, Equal Means,20,1092.900081,12, 
4, High Var,0,57.52639822,0, 
4, High Var,2,150.9801782,1, 
4, High Var,4,244.8937483,2, 
4, High Var,6,343.5360647,4, 
4, High Var,8,467.2309316,6, 
4, High Var,10,527.0106428,7, 
4, High Var,12,634.6941307,9, 
4, High Var,14,719.0827482,11, 
4, High Var,16,788.952615,13, 
4, High Var,18,893.0237617,15, 
4, High Var,20,971.0410497,17, 
4, IOWA,0,44.70346489,0, 
4, IOWA,2,99.58288402,2, 
4, IOWA,4,185.0508897,4, 
4, IOWA,6,272.7318431,6, 
4, IOWA,8,352.6456799,8, 
4, IOWA,10,432.774298,10, 
4, IOWA,12,522.326161,12, 
4, IOWA,14,579.5392294,14, 
4, IOWA,16,687.8429348,16, 
4, IOWA,18,778.3827212,18, 
4, IOWA,20,871.7285333,19, 
4, Low Var,0,62.85777903,0, 
4, Low Var,2,148.1223745,1, 
4, Low Var,4,250.9215784,2, 
4, Low Var,6,326.8348648,3, 
4, Low Var,8,420.6608355,5, 
4, Low Var,10,509.9835704,7, 
4, Low Var,12,594.5487105,9, 
4, Low Var,14,678.4203822,11, 
4, Low Var,16,764.6978395,13, 
4, Low Var,18,842.8648816,15, 
4, Low Var,20,920.9511026,17, 
4, Equal Means,0,29.32539226,0, 
4, Equal Means,2,138.3675542,2, 
4, Equal Means,4,240.1219756,4, 
4, Equal Means,6,363.0565646,6, 
4, Equal Means,8,462.7612918,6, 
4, Equal Means,10,572.3848882,8, 
4, Equal Means,12,679.373135,8, 
4, Equal Means,14,793.7779505,10, 
4, Equal Means,16,902.2985136,11, 
4, Equal Means,18,996.8006367,12, 
4, Equal Means,20,1088.680898,14, 
4, Low Var,0,66.37197816,0, 
4, Low Var,2,191.0194374,2, 
4, Low Var,4,301.879507,3, 
4, Low Var,6,373.4482032,5, 
4, Low Var,8,454.1681421,7, 
4, Low Var,10,542.278976,9, 
4, Low Var,12,623.1441375,11, 
4, Low Var,14,707.266447,13, 
4, Low Var,16,790.6965902,15, 
4, Low Var,18,871.6949462,17, 
4, Low Var,20,952.7013876,19, 
4, Equal Means,0,49.05047506,0, 
4, Equal Means,2,153.0707669,2, 
4, Equal Means,4,246.4027006,3, 
4, Equal Means,6,335.6778414,5, 
4, Equal Means,8,421.4881914,7, 
200550, IOWA,0,48.93012752,0,
200550, IOWA,2,152.7170753,0,
200550, IOWA,4,254.4185785,0,
200550, IOWA,6,401.8060632,1,
200550, IOWA,8,496.7805473,2,
200550, IOWA,10,562.6841212,4,
200550, IOWA,12,649.1465472,6,
200550, IOWA,14,782.2425441,6,
200550, IOWA,16,860.7097341,6,
200550, IOWA,18,933.2625088,8,
200550, IOWA,20,1030.370267,10,
200550, IOWA,0,61.9426185,0,
200550, IOWA,2,150.2886079,1,
200550, IOWA,4,235.3309469,3,
200550, IOWA,6,339.9245787,4,
200550, IOWA,8,443.1313594,4,
200550, IOWA,10,522.7273138,6,
200550, IOWA,12,639.3199752,7,
200550, IOWA,14,766.5518927,8,
200550, IOWA,16,847.5539576,10,
200550, IOWA,18,929.8294063,12,
200550, IOWA,20,1012.16188,14,
200550, Low Var,0,60.42360897,0,
200550, Low Var,2,182.8482775,2,
200550, Low Var,4,304.9462922,4,
200550, Low Var,6,424.2849792,6,
200550, Low Var,8,527.3643102,7,
200550, Low Var,10,611.6852389,8,
200550, Low Var,12,700.3360291,10,
200550, Low Var,14,786.0253764,12,
200550, Low Var,16,864.4549761,14,
200550, Low Var,18,945.4049072,16,
200550, Low Var,20,1026.979648,18,
200550, High Var,0,68.24771235,0,
200550, High Var,2,192.1994611,2,
200550, High Var,4,300.4184294,3,
200550, High Var,6,421.2263948,5,
200550, High Var,8,512.5375832,6,
200550, High Var,10,611.119133,8,
200550, High Var,12,689.659707,10,
200550, High Var,14,795.0118669,12,
200550, High Var,16,902.7414023,14,
200550, High Var,18,999.6582926,15,
200550, High Var,20,1095.929641,16,
200550, Low Var,0,56.4755678,0,
200550, Low Var,2,179.4670015,1,
200550, Low Var,4,271.280069,2,
200550, Low Var,6,374.1532926,4,
200550, Low Var,8,474.1961011,6,
200550, Low Var,10,571.5812058,8,
200550, Low Var,12,677.140433,9,
200550, Low Var,14,772.6345033,11,
200550, Low Var,16,878.1086357,13,
200550, Low Var,18,959.7429827,14,
200550, Low Var,20,1045.953301,16,
200550, Equal Means,0,53.16350149,0,
200550, Equal Means,2,152.6701674,2,
200550, Equal Means,4,253.4835698,4,
200550, Equal Means,6,355.0642557,6,
200550, Equal Means,8,447.641682,8,
200550, Equal Means,10,548.3489875,10,
200550, Equal Means,12,633.8771578,11,
200550, Equal Means,14,746.9758726,13,
200550, Equal Means,16,850.1757793,15,
200550, Equal Means,18,959.8095725,16,
200550, Equal Means,20,1066.946924,18,
200550, Equal Means,0,68.92170419,0,
200550, Equal Means,2,160.4529849,1,
200550, Equal Means,4,250.1729133,3,
200550, Equal Means,6,345.6972842,5,
200550, Equal Means,8,462.4444088,7,
200550, Equal Means,10,550.930712,8,
200550, Equal Means,12,661.5562596,10,
200550, Equal Means,14,765.4636487,12,
200550, Equal Means,16,866.5464004,14,
200550, Equal Means,18,955.3890821,15,
200550, Equal Means,20,1056.303187,17,
200550, IOWA,0,37.73441488,0,
200550, IOWA,2,121.9854597,2,
200550, IOWA,4,207.4172807,4,
200550, IOWA,6,287.0579198,6,
200550, IOWA,8,376.6967576,8,
200550, IOWA,10,458.1203129,10,
200550, IOWA,12,536.966158,12,
200550, IOWA,14,620.2737824,14,
200550, IOWA,16,711.5380006,15,
200550, IOWA,18,822.4372166,16,
200550, IOWA,20,882.1251506,17,
200550, High Var,0,41.16557746,0,
200550, High Var,2,125.3041146,2,
200550, High Var,4,202.8950901,4,
200550, High Var,6,292.4979948,6,
200550, High Var,8,387.5679847,8,
200550, High Var,10,487.8647796,9,
200550, High Var,12,597.2548347,11,
200550, High Var,14,704.2944775,13,
200550, High Var,16,811.3347452,15,
200550, High Var,18,904.0435765,16,
200550, High Var,20,986.1169643,18,
200550, High Var,0,51.8175521,0,
200550, High Var,2,144.3968626,2,
200550, High Var,4,229.3686378,4,
200550, High Var,6,307.8283848,6,
200550, High Var,8,376.7154798,8,
200550, High Var,10,453.0711825,10,
200550, High Var,12,562.8883644,12,
200550, High Var,14,640.2855425,14,
200550, High Var,16,717.4911709,16,
200550, High Var,18,794.4253487,18,
200550, High Var,20,867.3909654,20,
200550, IOWA,0,42.33830723,0,
200550, IOWA,2,117.9585855,2,
200550, IOWA,4,199.1077348,3,
200550, IOWA,6,340.1078889,4,
200550, IOWA,8,433.2191108,5,
200550, IOWA,10,529.5523669,6,
200550, IOWA,12,611.8123482,8,
200550, IOWA,14,697.7428772,10,
200550, IOWA,16,774.6885664,12,
200550, IOWA,18,860.602553,14,
200550, IOWA,20,951.7020522,16,
200550, Low Var,0,58.11684006,0,
200550, Low Var,2,164.1671597,1,
200550, Low Var,4,246.4913184,3,
200550, Low Var,6,327.1246544,5,
200550, Low Var,8,415.0534761,7,
006, IOWA, 0, 100, 0, 
006, IOWA, 2, 208.37158650885823, 0, 
006, IOWA, 4, 333.28078827913555, 1, 
006, IOWA, 6, 462.80825803422044, 2, 
006, IOWA, 8, 572.8138041877602, 4, 
006, IOWA, 10, 723.3974252494357, 4, 
006, IOWA, 12, 810.0021183790212, 5, 
006, IOWA, 14, 919.067989295426, 7, 
006, IOWA, 16, 1049.3668971932227, 8, 
006, IOWA, 18, 1170.0125455538002, 9, 
006, IOWA, 20, 1301.7267343263404, 11, 
006, IOWA, 0, 60.002142338018636, 0, 
006, IOWA, 2, 192.68822691491036, 2, 
006, IOWA, 4, 337.6023522319555, 3, 
006, IOWA, 6, 473.911051947738, 4, 
