Roll Number, Payoff Condition, Trial Number, Total Penalty, Rep Choices ,
006, High Var, 12, 576.2097442891371, 12, 
006, High Var, 14, 657.303183229457, 14, 
006, High Var, 16, 734.5101393604328, 16, 
006, High Var, 18, 821.6381042091597, 18, 
006, High Var, 20, 885.8493682047313, 20, 
006, IOWA, 0, 40.993456148823526, 0, 
006, IOWA, 2, 126.31875193117182, 2, 
006, IOWA, 4, 219.61447496340062, 4, 
006, IOWA, 6, 318.6970334207787, 6, 
006, IOWA, 8, 407.97480212536493, 8, 
006, IOWA, 10, 501.719660827639, 10, 
006, IOWA, 12, 600.0367206870335, 12, 
006, IOWA, 14, 692.8447221035292, 14, 
006, IOWA, 16, 786.4024834062543, 16, 
006, IOWA, 18, 876.9721250468629, 18, 
006, IOWA, 20, 964.9347782679655, 20, 
006, Equal Means, 0, 57.55545953719656, 0, 
006, Equal Means, 2, 167.04769260945002, 2, 
006, Equal Means, 4, 280.5739975849628, 4, 
006, Equal Means, 6, 387.2636277109981, 6, 
006, Equal Means, 8, 501.0267784247173, 8, 
006, Equal Means, 10, 614.0673061895973, 10, 
006, Equal Means, 12, 688.0692007956832, 11, 
006, Equal Means, 14, 802.4483799382094, 13, 
006, Equal Means, 16, 935.9641972868915, 14, 
006, Equal Means, 18, 1040.6634344585989, 16, 
006, Equal Means, 20, 1149.7463799332588, 17, 
006, Equal Means, 0, 53.98180229807232, 0, 
006, Equal Means, 2, 155.09405012857522, 2, 
006, Equal Means, 4, 278.1255283739554, 3, 
006, Equal Means, 6, 382.28881831708543, 5, 
006, Equal Means, 8, 485.21228797836267, 7, 
006, Equal Means, 10, 612.6165044964981, 9, 
006, Equal Means, 12, 736.3074831871128, 10, 
006, Equal Means, 14, 827.3253811325131, 12, 
006, Equal Means, 16, 940.5793271929374, 14, 
006, Equal Means, 18, 1052.9171641769271, 16, 
006, Equal Means, 20, 1179.5999708407728, 17, 
006, High Var, 0, 70.61962672700437, 0, 
006, High Var, 2, 200.08179761137308, 2, 
006, High Var, 4, 326.37330964181535, 4, 
006, High Var, 6, 425.4595914190356, 6, 
006, High Var, 8, 544.301218268112, 7, 
007, IOWA, 0, 100, 0, 
007, IOWA, 2, 220.56729351811697, 0, 
007, IOWA, 4, 326.0225740910757, 0, 
007, IOWA, 6, 420.8225156697456, 1, 
007, IOWA, 8, 576.7849727187398, 1, 
007, IOWA, 10, 672.9062311566395, 2, 
007, IOWA, 12, 774.615994848725, 4, 
007, IOWA, 14, 868.147165405492, 6, 
007, IOWA, 16, 956.8083488743034, 8, 
007, IOWA, 18, 1054.588829709522, 10, 
007, IOWA, 20, 1155.7903184834274, 12, 
007, IOWA, 0, 69.78573588228916, 0, 
007, IOWA, 2, 210.86962486555555, 1, 
007, IOWA, 4, 314.8673640297603, 2, 
007, IOWA, 6, 414.25659217393456, 4, 
007, IOWA, 8, 518.7502503580454, 5, 
007, IOWA, 10, 621.0586237143267, 7, 
007, IOWA, 12, 729.9726732220647, 9, 
007, IOWA, 14, 834.1627617391014, 10, 
007, IOWA, 16, 942.7485522816819, 10, 
007, IOWA, 18, 1036.2230727011743, 12, 
007, IOWA, 20, 1145.440593354871, 13, 
007, IOWA, 0, 73.46270925527179, 0, 
007, IOWA, 2, 180.75475064771098, 0, 
007, IOWA, 4, 307.6214658438234, 0, 
007, IOWA, 6, 412.65518488339234, 1, 
007, IOWA, 8, 531.9395851317481, 1, 
007, IOWA, 10, 628.3016417044131, 3, 
007, IOWA, 12, 729.9458619155228, 5, 
007, IOWA, 14, 823.2750819446507, 7, 
007, IOWA, 16, 933.8542138765025, 8, 
007, IOWA, 18, 1071.8060541755156, 8, 
007, IOWA, 20, 1173.7462103227883, 9, 
007, Low Var, 0, 60.886728365160664, 0, 
007, Low Var, 2, 190.5861510820015, 0, 
007, Low Var, 4, 311.60703467564997, 1, 
007, Low Var, 6, 405.31550748087614, 2, 
007, Low Var, 8, 494.90632346749123, 4, 
007, Low Var, 10, 587.777095225882, 6, 
007, Low Var, 12, 680.2265713708429, 8, 
007, Low Var, 14, 783.8344078317323, 10, 
007, Low Var, 16, 878.457240178819, 12, 
007, Low Var, 18, 999.9268149768378, 12, 
007, Low Var, 20, 1128.41119177462, 12, 
007, High Var, 0, 67.36298257244043, 0, 
007, High Var, 2, 202.78887818951415, 1, 
007, High Var, 4, 284.6241839046152, 3, 
007, High Var, 6, 364.73512247190234, 5, 
007, High Var, 8, 453.09066233639516, 5, 
007, High Var, 10, 536.4247022752697, 7, 
007, High Var, 12, 627.120919219431, 9, 
007, High Var, 14, 762.6309875273104, 9, 
007, High Var, 16, 865.7555146438904, 10, 
007, High Var, 18, 969.8610880218084, 12, 
007, High Var, 20, 1091.5593954131143, 12, 
007, High Var, 0, 50.74619125725759, 0, 
007, High Var, 2, 157.20360944846925, 1, 
007, High Var, 4, 277.7152273247365, 2, 
007, High Var, 6, 373.55672670332206, 2, 
007, High Var, 8, 501.57402579127756, 2, 
007, High Var, 10, 631.3117112160675, 3, 
007, High Var, 12, 751.2005668821245, 4, 
007, High Var, 14, 877.2656243735611, 5, 
007, High Var, 16, 1003.0545861003607, 6, 
007, High Var, 18, 1125.549558676458, 6, 
007, High Var, 20, 1245.1589103154815, 6, 
007, IOWA, 0, 65.16233681902618, 0, 
007, IOWA, 2, 216.1711878444217, 0, 
007, IOWA, 4, 320.8584209904068, 0, 
007, IOWA, 6, 434.97325507358926, 0, 
007, IOWA, 8, 530.5864982429761, 2, 
007, IOWA, 10, 660.8646088212047, 3, 
007, IOWA, 12, 743.5552310919412, 4, 
007, IOWA, 14, 836.1225879584837, 6, 
007, IOWA, 16, 920.5786532925864, 7, 
007, IOWA, 18, 1044.5897461782624, 7, 
007, IOWA, 20, 1135.663540577721, 9, 
007, Equal Means, 0, 50.93699289332877, 0, 
007, Equal Means, 2, 171.78580890086192, 0, 
007, Equal Means, 4, 282.98849407167313, 0, 
007, Equal Means, 6, 418.16695897577563, 1, 
007, Equal Means, 8, 539.3046423863556, 2, 
007, Equal Means, 10, 641.1463563565713, 2, 
007, Equal Means, 12, 775.6697719427166, 3, 
007, Equal Means, 14, 891.1243126935443, 3, 
007, Equal Means, 16, 1009.0978502607843, 3, 
007, Equal Means, 18, 1118.340633900006, 4, 
007, Equal Means, 20, 1230.879798038755, 6, 
007, Low Var, 0, 48.081838441641366, 0, 
007, Low Var, 2, 160.2051348289484, 1, 
007, Low Var, 4, 266.5188531860236, 1, 
007, Low Var, 6, 382.7476943288709, 1, 
007, Low Var, 8, 490.78827942972737, 1, 
007, Low Var, 10, 609.4316287044572, 3, 
007, Low Var, 12, 719.5205893740384, 5, 
007, Low Var, 14, 834.4783008705638, 7, 
007, Low Var, 16, 948.9745697244817, 9, 
007, Low Var, 18, 1063.0722024862218, 11, 
007, Low Var, 20, 1181.7478055253373, 13, 
007, High Var, 0, 51.32801519882869, 0, 
007, High Var, 2, 143.87634457410874, 2, 
007, High Var, 4, 288.36759246358093, 3, 
007, High Var, 6, 396.5376313032403, 3, 
007, High Var, 8, 507.9410115018006, 4, 
007, High Var, 10, 598.31221798176, 6, 
007, High Var, 12, 710.255103895131, 6, 
007, High Var, 14, 817.054360057927, 6, 
007, High Var, 16, 918.065413693997, 6, 
007, High Var, 18, 1001.5088207545513, 8, 
007, High Var, 20, 1105.4507699197036, 10, 
007, Equal Means, 0, 53.53807959174343, 0, 
007, Equal Means, 2, 170.12043477485764, 2, 
007, Equal Means, 4, 329.3016372706031, 2, 
007, Equal Means, 6, 443.99362264039553, 4, 
007, Equal Means, 8, 572.5536869734157, 6, 
007, Equal Means, 10, 690.2190458424678, 8, 
007, Equal Means, 12, 781.7454907932134, 9, 
007, Equal Means, 14, 896.1090841664147, 11, 
007, Equal Means, 16, 1027.5217719000927, 11, 
007, Equal Means, 18, 1147.474437317678, 12, 
007, Equal Means, 20, 1269.2188228780901, 12, 
007, Equal Means, 0, 63.48160729920452, 0, 
007, Equal Means, 2, 185.9990200102852, 1, 
007, Equal Means, 4, 301.31777982833495, 2, 
007, Equal Means, 6, 416.70887852886574, 3, 
007, Equal Means, 8, 531.766849465035, 4, 
008, IOWA, 0, 100, 0, 
008, IOWA, 2, 171.9361640011009, 1, 
008, IOWA, 4, 237.27163435507813, 3, 
008, IOWA, 6, 295.1641507228511, 5, 
008, IOWA, 8, 363.3502117204719, 7, 
008, IOWA, 10, 428.3004703766416, 9, 
008, IOWA, 12, 512.105455622729, 11, 
008, IOWA, 14, 632.8204644848962, 11, 
008, IOWA, 16, 698.1251710663313, 12, 
008, IOWA, 18, 767.8680205317911, 14, 
008, IOWA, 20, 838.194479492135, 16, 
008, IOWA, 0, 40.593195816984704, 0, 
008, IOWA, 2, 145.28581309711183, 2, 
008, IOWA, 4, 223.8889595434102, 4, 
008, IOWA, 6, 346.34207810476397, 6, 
008, IOWA, 8, 404.85906129918294, 7, 
008, IOWA, 10, 459.399596826257, 9, 
008, IOWA, 12, 526.0550652024917, 11, 
008, IOWA, 14, 592.4644218317385, 13, 
008, IOWA, 16, 656.3622599019897, 15, 
008, IOWA, 18, 732.0755291786368, 17, 
008, IOWA, 20, 799.9086956639118, 19, 
008, Low Var, 0, 39.55575658491463, 0, 
008, Low Var, 2, 133.48665645471718, 1, 
008, Low Var, 4, 227.3145426295457, 2, 
008, Low Var, 6, 308.50893796862226, 3, 
008, Low Var, 8, 382.9719533210711, 4, 
008, Low Var, 10, 441.79531540318015, 6, 
008, Low Var, 12, 512.0306133599661, 8, 
008, Low Var, 14, 577.0771260077094, 10, 
008, Low Var, 16, 639.7618340193131, 12, 
008, Low Var, 18, 710.6377310420557, 14, 
008, Low Var, 20, 778.5334121804968, 16, 
008, Low Var, 0, 37.49436665289077, 0, 
008, Low Var, 2, 100.4011058182253, 2, 
008, Low Var, 4, 167.37097245868756, 4, 
008, Low Var, 6, 228.07257995039288, 6, 
008, Low Var, 8, 293.78793380555993, 8, 
008, Low Var, 10, 365.89474199718865, 10, 
008, Low Var, 12, 432.2280745829536, 12, 
008, Low Var, 14, 494.4587453801629, 14, 
008, Low Var, 16, 562.8074823490703, 16, 
008, Low Var, 18, 640.3945608940815, 17, 
008, Low Var, 20, 737.3667617866251, 17, 
008, High Var, 0, 53.04242964718326, 0, 
008, High Var, 2, 121.26049340122623, 0, 
008, High Var, 4, 210.6860778311343, 0, 
008, High Var, 6, 287.16356411429547, 2, 
008, High Var, 8, 342.5668636235793, 4, 
008, High Var, 10, 413.02337314413137, 6, 
008, High Var, 12, 495.04526571728735, 8, 
008, High Var, 14, 555.8734054883832, 10, 
008, High Var, 16, 596.5461947280028, 12, 
008, High Var, 18, 669.6264591919391, 14, 
008, High Var, 20, 759.4500425657169, 16, 
008, High Var, 0, 48.72039099829902, 0, 
008, High Var, 2, 147.9669261555088, 1, 
008, High Var, 4, 231.89043861182816, 3, 
008, High Var, 6, 306.14018496300423, 5, 
008, High Var, 8, 460.1703243740524, 5, 
008, High Var, 10, 560.1972287301377, 6, 
008, High Var, 12, 671.3799987004979, 7, 
008, High Var, 14, 769.4302097000364, 8, 
008, High Var, 16, 842.032436860835, 10, 
008, High Var, 18, 941.2540559678989, 12, 
008, High Var, 20, 1007.3775792097944, 13, 
008, Equal Means, 0, 47.97313923482204, 0, 
008, Equal Means, 2, 129.602792880895, 2, 
008, Equal Means, 4, 216.52699406334872, 3, 
008, Equal Means, 6, 300.69382288992705, 5, 
008, Equal Means, 8, 368.6682525520177, 7, 
008, Equal Means, 10, 464.71104711144824, 9, 
008, Equal Means, 12, 560.4327915386638, 10, 
008, Equal Means, 14, 643.8356237910721, 10, 
008, Equal Means, 16, 729.1775311508773, 11, 
008, Equal Means, 18, 826.2973106974181, 12, 
008, Equal Means, 20, 897.8821383943759, 13, 
008, High Var, 0, 33.200029147688895, 0, 
008, High Var, 2, 128.736241114419, 2, 
008, High Var, 4, 218.59236491246497, 3, 
008, High Var, 6, 286.2389747637101, 5, 
008, High Var, 8, 344.0624071501824, 7, 
008, High Var, 10, 418.8903008118949, 9, 
008, High Var, 12, 498.5071125621531, 11, 
008, High Var, 14, 584.8950707615521, 12, 
008, High Var, 16, 655.0863037926923, 13, 
008, High Var, 18, 720.5251422574433, 14, 
008, High Var, 20, 776.712634358146, 15, 
008, Equal Means, 0, 36.20214960410326, 0, 
008, Equal Means, 2, 113.55545847698338, 2, 
008, Equal Means, 4, 189.9118595616395, 3, 
008, Equal Means, 6, 271.46672543979724, 5, 
008, Equal Means, 8, 364.56126231900834, 6, 
008, Equal Means, 10, 443.42150537416086, 8, 
008, Equal Means, 12, 528.8996380282209, 10, 
008, Equal Means, 14, 609.3481291206588, 12, 
008, Equal Means, 16, 694.4828793856922, 12, 
008, Equal Means, 18, 779.615048161995, 13, 
008, Equal Means, 20, 866.9200725173434, 14, 
008, IOWA, 0, 67.63554950725782, 0, 
008, IOWA, 2, 154.08152266846156, 1, 
008, IOWA, 4, 219.82148542361327, 3, 
008, IOWA, 6, 292.1605186396652, 5, 
008, IOWA, 8, 366.7615406161027, 7, 
008, IOWA, 10, 446.8751994465084, 9, 
008, IOWA, 12, 516.0201374665775, 10, 
008, IOWA, 14, 583.2466300144337, 12, 
008, IOWA, 16, 647.1428678324877, 14, 
008, IOWA, 18, 710.7924751718632, 16, 
008, IOWA, 20, 780.1919901653629, 18, 
008, Equal Means, 0, 33.719758383165484, 0, 
008, Equal Means, 2, 102.12438248152701, 2, 
008, Equal Means, 4, 209.322317921971, 4, 
008, Equal Means, 6, 301.287839387167, 5, 
008, Equal Means, 8, 399.78429987884357, 6, 
008, Equal Means, 10, 490.9033131052895, 7, 
008, Equal Means, 12, 580.8215082971631, 9, 
008, Equal Means, 14, 668.4620484478364, 10, 
008, Equal Means, 16, 761.5071716006189, 12, 
008, Equal Means, 18, 837.2518231544234, 12, 
008, Equal Means, 20, 934.1818549441421, 14, 
008, IOWA, 0, 51.82592821705655, 0, 
008, IOWA, 2, 141.5863939767456, 1, 
008, IOWA, 4, 199.76661513909124, 3, 
008, IOWA, 6, 263.5060989649914, 5, 
008, IOWA, 8, 333.78365796621335, 7, 
009, IOWA, 0, 51.22828009114206, 0, 
009, IOWA, 2, 170.66540275653165, 0, 
009, IOWA, 4, 268.29157683040523, 0, 
009, IOWA, 6, 402.98012228970066, 0, 
009, IOWA, 8, 499.7801064071241, 0, 
009, IOWA, 10, 627.2415337940872, 0, 
009, IOWA, 12, 699.8602778064419, 1, 
009, IOWA, 14, 830.5357715573444, 2, 
009, IOWA, 16, 953.0950282038507, 2, 
009, IOWA, 18, 1073.0462830550034, 2, 
009, IOWA, 20, 1166.5619525652066, 4, 
009, IOWA, 0, 59.66578429045729, 0, 
009, IOWA, 2, 179.12188447073754, 0, 
009, IOWA, 4, 297.4375431174392, 0, 
009, IOWA, 6, 412.7265794435288, 0, 
009, IOWA, 8, 505.3088365683924, 0, 
009, IOWA, 10, 631.4111909346609, 0, 
009, IOWA, 12, 778.4910269040208, 0, 
009, IOWA, 14, 899.3444766702743, 0, 
009, IOWA, 16, 980.5396414957946, 0, 
009, IOWA, 18, 1083.375703174357, 0, 
009, IOWA, 20, 1189.3278201842672, 2, 
009, Low Var, 0, 58.87897893778859, 0, 
009, Low Var, 2, 194.50569547024153, 1, 
009, Low Var, 4, 333.336600792137, 3, 
009, Low Var, 6, 445.79969111676314, 3, 
009, Low Var, 8, 539.4871832865252, 4, 
009, Low Var, 10, 638.3425003863543, 6, 
009, Low Var, 12, 744.8662129394215, 7, 
009, Low Var, 14, 840.6921117727886, 8, 
009, Low Var, 16, 932.913842152056, 10, 
009, Low Var, 18, 1030.4239536792657, 12, 
009, Low Var, 20, 1124.6913973046612, 14, 
009, Equal Means, 0, 48.10741450673212, 0, 
009, Equal Means, 2, 162.5206116296153, 2, 
009, Equal Means, 4, 286.7463535153602, 2, 
009, Equal Means, 6, 398.00475647949247, 4, 
009, Equal Means, 8, 511.33355713313097, 5, 
009, Equal Means, 10, 630.5403916596232, 6, 
009, Equal Means, 12, 736.0595520526839, 8, 
009, Equal Means, 14, 855.6561504125165, 10, 
009, Equal Means, 16, 963.8021057326644, 11, 
009, Equal Means, 18, 1076.7943178391133, 12, 
009, Equal Means, 20, 1179.9898125269988, 13, 
009, High Var, 0, 58.81476262460236, 0, 
009, High Var, 2, 151.25858325088785, 2, 
009, High Var, 4, 274.95525739707983, 3, 
009, High Var, 6, 406.70238382067186, 4, 
009, High Var, 8, 524.5639653998776, 6, 
009, High Var, 10, 648.2420059368088, 8, 
009, High Var, 12, 741.7496161902176, 9, 
009, High Var, 14, 870.3171780294604, 11, 
009, High Var, 16, 996.9840088722688, 11, 
009, High Var, 18, 1081.2924850841919, 13, 
009, High Var, 20, 1161.2386794552629, 15, 
009, IOWA, 0, 68.57849636198603, 0, 
009, IOWA, 2, 175.30232342485755, 1, 
009, IOWA, 4, 305.0682302886212, 3, 
009, IOWA, 6, 440.5914571980374, 4, 
009, IOWA, 8, 577.0863976197505, 6, 
009, IOWA, 10, 707.3437383743234, 8, 
009, IOWA, 12, 798.098981633668, 9, 
009, IOWA, 14, 896.7609508349034, 11, 
009, IOWA, 16, 984.7557123137684, 13, 
009, IOWA, 18, 1078.581010375762, 15, 
009, IOWA, 20, 1173.843208877514, 17, 
009, IOWA, 0, 74.27925472289407, 0, 
009, IOWA, 2, 176.6742811928807, 0, 
009, IOWA, 4, 281.1561734037018, 1, 
009, IOWA, 6, 375.56943968300305, 1, 
009, IOWA, 8, 482.3758702738324, 1, 
009, IOWA, 10, 606.852518665516, 1, 
009, IOWA, 12, 732.1427965827395, 1, 
009, IOWA, 14, 845.9160059421205, 1, 
009, IOWA, 16, 930.1568114723673, 3, 
009, IOWA, 18, 1031.9986463293017, 4, 
009, IOWA, 20, 1138.3442117904099, 5, 
009, Equal Means, 0, 72.93383962250336, 0, 
009, Equal Means, 2, 178.97225120843507, 2, 
009, Equal Means, 4, 300.8994460818554, 4, 
009, Equal Means, 6, 427.0859719882041, 4, 
009, Equal Means, 8, 544.2643509702945, 4, 
009, Equal Means, 10, 689.0838578643168, 4, 
009, Equal Means, 12, 807.4136133856318, 4, 
009, Equal Means, 14, 923.866617389564, 5, 
009, Equal Means, 16, 1040.3439300177592, 5, 
009, Equal Means, 18, 1154.1833721360274, 5, 
009, Equal Means, 20, 1283.3371580212809, 5, 
009, Equal Means, 0, 58.48654370334381, 0, 
009, Equal Means, 2, 198.0995964764917, 0, 
009, Equal Means, 4, 307.09664161452463, 0, 
009, Equal Means, 6, 421.2033502839134, 1, 
009, Equal Means, 8, 540.3704240692047, 1, 
009, Equal Means, 10, 662.6601946276052, 1, 
009, Equal Means, 12, 784.9457362254552, 3, 
009, Equal Means, 14, 893.2128284124203, 4, 
009, Equal Means, 16, 1014.5239225163901, 5, 
009, Equal Means, 18, 1128.8207301714885, 5, 
009, Equal Means, 20, 1244.495501112509, 5, 
009, Low Var, 0, 56.06156958637319, 0, 
009, Low Var, 2, 170.34674672234195, 0, 
009, Low Var, 4, 301.5083852162075, 0, 
009, Low Var, 6, 417.16662508538576, 0, 
009, Low Var, 8, 513.4749353225542, 2, 
009, Low Var, 10, 614.3455569841781, 4, 
009, Low Var, 12, 734.739681100698, 4, 
009, Low Var, 14, 829.8058267904909, 6, 
009, Low Var, 16, 923.7486114951843, 8, 
009, Low Var, 18, 1016.1592545508873, 10, 
009, Low Var, 20, 1115.3904668500809, 12, 
009, High Var, 0, 59.614216292803896, 0, 
009, High Var, 2, 154.8433751746292, 1, 
009, High Var, 4, 270.95578646618793, 2, 
009, High Var, 6, 376.44642134072535, 4, 
009, High Var, 8, 489.27536162327334, 6, 
009, High Var, 10, 604.3551197397081, 6, 
009, High Var, 12, 732.6605245862921, 8, 
009, High Var, 14, 819.6798204876288, 9, 
009, High Var, 16, 898.9903133513291, 11, 
009, High Var, 18, 1023.5789419544267, 12, 
009, High Var, 20, 1162.1270251462438, 13, 
009, Low Var, 0, 52.62776644390006, 0, 
009, Low Var, 2, 173.0233879130099, 2, 
009, Low Var, 4, 288.36115084279004, 2, 
009, Low Var, 6, 411.94408310123174, 2, 
009, Low Var, 8, 515.6932840448922, 2, 
010, IOWA, 0, 66.77242961690698, 0, 
010, IOWA, 2, 152.61866395725175, 0, 
010, IOWA, 4, 226.27179920754196, 2, 
010, IOWA, 6, 317.7725155577806, 3, 
010, IOWA, 8, 421.38347370755605, 3, 
010, IOWA, 10, 495.2554335313341, 4, 
010, IOWA, 12, 566.0195954520527, 6, 
010, IOWA, 14, 670.039732574621, 7, 
010, IOWA, 16, 765.2444017052204, 7, 
010, IOWA, 18, 842.4264348745387, 8, 
010, IOWA, 20, 917.6017984184246, 10, 
010, IOWA, 0, 36.12210661999565, 0, 
010, IOWA, 2, 119.72215927101058, 2, 
010, IOWA, 4, 220.58112604215444, 2, 
010, IOWA, 6, 319.59888715758655, 3, 
010, IOWA, 8, 405.8507682404394, 3, 
010, IOWA, 10, 489.24435659897034, 5, 
010, IOWA, 12, 567.8066400682532, 7, 
010, IOWA, 14, 642.340793311489, 9, 
010, IOWA, 16, 721.8019356033124, 11, 
010, IOWA, 18, 832.1773741193529, 11, 
010, IOWA, 20, 912.490415485003, 13, 
010, Equal Means, 0, 52.27058477136363, 0, 
010, Equal Means, 2, 149.63025536174143, 1, 
010, Equal Means, 4, 279.5222817025125, 1, 
010, Equal Means, 6, 378.7082272049622, 1, 
010, Equal Means, 8, 473.1217943569323, 3, 
010, Equal Means, 10, 577.2934478038005, 4, 
010, Equal Means, 12, 663.3707764447449, 4, 
010, Equal Means, 14, 745.9845610463151, 4, 
010, Equal Means, 16, 842.5264517076267, 6, 
010, Equal Means, 18, 935.1609541731793, 6, 
010, Equal Means, 20, 1034.215275193765, 6, 
010, High Var, 0, 52.48099390774777, 0, 
010, High Var, 2, 148.46511596741615, 1, 
010, High Var, 4, 217.65403545054278, 1, 
010, High Var, 6, 297.91786296228406, 2, 
010, High Var, 8, 393.8465830713799, 3, 
010, High Var, 10, 496.1659444390549, 3, 
010, High Var, 12, 581.5545095400623, 5, 
010, High Var, 14, 673.1571206745925, 6, 
010, High Var, 16, 753.4625457971847, 6, 
010, High Var, 18, 862.0427298335478, 6, 
010, High Var, 20, 971.9780606573099, 6, 
010, IOWA, 0, 21.899989628824567, 0, 
010, IOWA, 2, 98.31865618736475, 2, 
010, IOWA, 4, 181.32262995633351, 3, 
010, IOWA, 6, 294.34466870261423, 4, 
010, IOWA, 8, 365.8758900767526, 5, 
010, IOWA, 10, 441.9211255874679, 6, 
010, IOWA, 12, 546.0008870652309, 7, 
010, IOWA, 14, 632.2641072318611, 7, 
010, IOWA, 16, 739.0116604344287, 8, 
010, IOWA, 18, 817.5260298632159, 9, 
010, IOWA, 20, 900.1596750250719, 10, 
010, Equal Means, 0, 44.857501920688385, 0, 
010, Equal Means, 2, 137.42991519284936, 1, 
010, Equal Means, 4, 249.4400202527051, 1, 
010, Equal Means, 6, 355.83478295167424, 1, 
010, Equal Means, 8, 453.77491485878363, 1, 
010, Equal Means, 10, 611.6822511949366, 1, 
010, Equal Means, 12, 715.1677942896366, 1, 
010, Equal Means, 14, 809.7776915771695, 1, 
010, Equal Means, 16, 915.4668419395563, 1, 
010, Equal Means, 18, 1032.1647605581331, 2, 
010, Equal Means, 20, 1122.1647530096218, 4, 
010, High Var, 0, 58.98487252583063, 0, 
010, High Var, 2, 146.13681497136142, 2, 
010, High Var, 4, 199.74961007964646, 3, 
010, High Var, 6, 294.35696742137054, 4, 
010, High Var, 8, 365.37563123297736, 5, 
010, High Var, 10, 415.25073948992224, 7, 
010, High Var, 12, 491.4320145863994, 9, 
010, High Var, 14, 561.8701318240694, 11, 
010, High Var, 16, 651.3433610090261, 13, 
010, High Var, 18, 772.0845810570214, 14, 
010, High Var, 20, 843.1615851946303, 15, 
010, Low Var, 0, 58.57991970344562, 0, 
010, Low Var, 2, 138.3111495097529, 1, 
010, Low Var, 4, 226.6724743525008, 1, 
010, Low Var, 6, 308.0997825737395, 3, 
010, Low Var, 8, 433.1971296517336, 4, 
010, Low Var, 10, 539.9977267595689, 4, 
010, Low Var, 12, 631.252696400477, 4, 
010, Low Var, 14, 719.4795582596719, 5, 
010, Low Var, 16, 839.2071930813877, 5, 
010, Low Var, 18, 946.9838727619798, 5, 
010, Low Var, 20, 1027.3368338637238, 7, 
010, Equal Means, 0, 55.63863292348398, 0, 
010, Equal Means, 2, 144.18193567501353, 1, 
010, Equal Means, 4, 261.8193980965973, 1, 
010, Equal Means, 6, 348.9558512257687, 2, 
010, Equal Means, 8, 451.5394554338299, 2, 
010, Equal Means, 10, 556.6294025142339, 2, 
010, Equal Means, 12, 651.615757034184, 3, 
010, Equal Means, 14, 741.8614324283114, 4, 
010, Equal Means, 16, 814.7282506047927, 4, 
010, Equal Means, 18, 928.6429140743514, 6, 
010, Equal Means, 20, 1009.1036212844106, 6, 
010, Low Var, 0, 62.76577796126321, 0, 
010, Low Var, 2, 146.6416063321936, 0, 
010, Low Var, 4, 215.69362511048752, 2, 
010, Low Var, 6, 307.8690690933823, 3, 
010, Low Var, 8, 401.4486911576557, 3, 
010, Low Var, 10, 484.26290112740315, 4, 
010, Low Var, 12, 590.6290363645755, 4, 
010, Low Var, 14, 700.2564315529665, 4, 
010, Low Var, 16, 800.5434614235481, 4, 
010, Low Var, 18, 907.9234754556818, 4, 
010, Low Var, 20, 987.7098251761037, 5, 
010, High Var, 0, 31.09039608572047, 0, 
010, High Var, 2, 105.8010593323832, 2, 
010, High Var, 4, 181.03320813168816, 4, 
010, High Var, 6, 306.576994581822, 5, 
010, High Var, 8, 401.0707867205613, 5, 
010, High Var, 10, 496.4100322485159, 7, 
010, High Var, 12, 571.5429507277372, 9, 
010, High Var, 14, 660.7079176274619, 10, 
010, High Var, 16, 767.6014220164831, 10, 
010, High Var, 18, 885.9930129178697, 11, 
010, High Var, 20, 986.8227848964793, 12, 
010, Low Var, 0, 39.56724365209978, 0, 
010, Low Var, 2, 132.6142955827315, 0, 
010, Low Var, 4, 210.14011550133694, 2, 
010, Low Var, 6, 294.36833466640746, 4, 
010, Low Var, 8, 387.219235893994, 4, 
011, IOWA, 0, 20.90253417401089, 0, 
011, IOWA, 2, 110.42022865032732, 2, 
011, IOWA, 4, 191.7095983244219, 4, 
011, IOWA, 6, 295.65416124426145, 6, 
011, IOWA, 8, 376.1857586888513, 7, 
011, IOWA, 10, 471.4240762991635, 9, 
011, IOWA, 12, 605.8137315616693, 9, 
011, IOWA, 14, 667.9930828562065, 10, 
011, IOWA, 16, 763.0965653999526, 12, 
011, IOWA, 18, 825.3767029416607, 14, 
011, IOWA, 20, 904.3850563490955, 16, 
011, IOWA, 0, 40.399208417897356, 0, 
011, IOWA, 2, 129.63984710902855, 2, 
011, IOWA, 4, 214.32320249009786, 4, 
011, IOWA, 6, 299.1811677853433, 6, 
011, IOWA, 8, 384.5713714663177, 8, 
011, IOWA, 10, 473.42670156117913, 10, 
011, IOWA, 12, 561.2439941780424, 11, 
011, IOWA, 14, 661.250213799228, 12, 
011, IOWA, 16, 756.6786403803434, 14, 
011, IOWA, 18, 840.1215668254133, 16, 
011, IOWA, 20, 922.1918247781583, 18, 
011, Low Var, 0, 36.279289411947275, 0, 
011, Low Var, 2, 125.05710067749581, 2, 
011, Low Var, 4, 213.00417338606007, 4, 
011, Low Var, 6, 304.62281753964345, 6, 
011, Low Var, 8, 387.4721896227188, 8, 
011, Low Var, 10, 470.88044706686435, 10, 
011, Low Var, 12, 551.2787163394095, 12, 
011, Low Var, 14, 641.371047008418, 14, 
011, Low Var, 16, 729.4769326602715, 16, 
011, Low Var, 18, 816.7221872043857, 18, 
011, Low Var, 20, 910.690351219182, 20, 
011, High Var, 0, 73.2043008468647, 0, 
