Roll Number, Payoff Condition, Trial Number, Total Penalty, Rep Choices
009, Low Var, 14, 810.0, 10
009, Low Var, 16, 919.0, 10
009, Low Var, 18, 1036.0, 12
009, Low Var, 20, 1174.0, 13
009, Low Var, 0, 70.0, 0
009, Low Var, 2, 198.0, 1
009, Low Var, 4, 314.0, 2
009, Low Var, 6, 431.0, 2
009, Low Var, 8, 541.0, 4
009, Low Var, 10, 667.0, 5
009, Low Var, 12, 775.0, 5
009, Low Var, 14, 900.0, 6
009, Low Var, 16, 999.0, 8
009, Low Var, 18, 1087.0, 10
009, Low Var, 20, 1225.0, 11
009, IOWA, 0, 66.0, 0
009, IOWA, 2, 198.0, 1
009, IOWA, 4, 340.0, 3
009, IOWA, 6, 477.0, 4
009, IOWA, 8, 607.0, 5
010, IOWA, 0, 59.0, 0
010, IOWA, 2, 132.0, 0
010, IOWA, 4, 226.0, 0
010, IOWA, 6, 317.0, 1
010, IOWA, 8, 419.0, 1
010, IOWA, 10, 499.0, 2
010, IOWA, 12, 597.0, 2
010, IOWA, 14, 666.0, 3
010, IOWA, 16, 735.0, 5
010, IOWA, 18, 817.0, 5
010, IOWA, 20, 916.0, 7
010, IOWA, 0, 62.0, 0
010, IOWA, 2, 160.0, 0
010, IOWA, 4, 240.0, 0
010, IOWA, 6, 320.0, 1
010, IOWA, 8, 408.0, 2
010, IOWA, 10, 535.0, 2
010, IOWA, 12, 627.0, 2
010, IOWA, 14, 704.0, 3
010, IOWA, 16, 786.0, 5
010, IOWA, 18, 867.0, 7
010, IOWA, 20, 952.0, 8
010, Low Var, 0, 45.0, 0
010, Low Var, 2, 142.0, 0
010, Low Var, 4, 215.0, 1
010, Low Var, 6, 290.0, 3
010, Low Var, 8, 371.0, 5
010, Low Var, 10, 446.0, 7
010, Low Var, 12, 517.0, 9
010, Low Var, 14, 599.0, 11
010, Low Var, 16, 685.0, 13
010, Low Var, 18, 761.0, 15
010, Low Var, 20, 840.0, 17
010, IOWA, 0, 62.0, 0
010, IOWA, 2, 189.0, 1
010, IOWA, 4, 302.0, 1
010, IOWA, 6, 402.0, 1
010, IOWA, 8, 482.0, 2
010, IOWA, 10, 565.0, 4
010, IOWA, 12, 671.0, 4
010, IOWA, 14, 753.0, 5
010, IOWA, 16, 828.0, 7
010, IOWA, 18, 923.0, 7
010, IOWA, 20, 1019.0, 7
010, Equal Means, 0, 48.0, 0
010, Equal Means, 2, 160.0, 0
010, Equal Means, 4, 250.0, 1
010, Equal Means, 6, 343.0, 1
010, Equal Means, 8, 442.0, 1
010, Equal Means, 10, 550.0, 1
010, Equal Means, 12, 636.0, 3
010, Equal Means, 14, 737.0, 4
010, Equal Means, 16, 838.0, 4
010, Equal Means, 18, 956.0, 4
010, Equal Means, 20, 1059.0, 4
010, High Var, 0, 48.0, 0
010, High Var, 2, 141.0, 1
010, High Var, 4, 248.0, 2
010, High Var, 6, 346.0, 3
010, High Var, 8, 413.0, 4
010, High Var, 10, 527.0, 5
010, High Var, 12, 634.0, 6
010, High Var, 14, 728.0, 7
010, High Var, 16, 821.0, 7
010, High Var, 18, 944.0, 8
010, High Var, 20, 1043.0, 8
010, IOWA, 0, 54.0, 0
010, IOWA, 2, 163.0, 1
010, IOWA, 4, 263.0, 2
010, IOWA, 6, 351.0, 2
010, IOWA, 8, 428.0, 4
010, IOWA, 10, 505.0, 6
010, IOWA, 12, 607.0, 7
010, IOWA, 14, 677.0, 8
010, IOWA, 16, 756.0, 8
010, IOWA, 18, 855.0, 8
010, IOWA, 20, 954.0, 8
010, Low Var, 0, 59.0, 0
010, Low Var, 2, 169.0, 1
010, Low Var, 4, 254.0, 2
010, Low Var, 6, 368.0, 2
010, Low Var, 8, 448.0, 3
010, Low Var, 10, 529.0, 5
010, Low Var, 12, 628.0, 5
010, Low Var, 14, 732.0, 5
010, Low Var, 16, 828.0, 5
010, Low Var, 18, 910.0, 6
010, Low Var, 20, 994.0, 8
010, High Var, 0, 55.0, 0
010, High Var, 2, 123.0, 0
010, High Var, 4, 171.0, 0
010, High Var, 6, 296.0, 0
010, High Var, 8, 421.0, 0
010, High Var, 10, 506.0, 1
010, High Var, 12, 600.0, 3
010, High Var, 14, 735.0, 4
010, High Var, 16, 849.0, 4
010, High Var, 18, 975.0, 4
010, High Var, 20, 1058.0, 4
010, Equal Means, 0, 45.0, 0
010, Equal Means, 2, 162.0, 0
010, Equal Means, 4, 269.0, 0
010, Equal Means, 6, 376.0, 0
010, Equal Means, 8, 454.0, 1
010, Equal Means, 10, 556.0, 2
010, Equal Means, 12, 662.0, 2
010, Equal Means, 14, 756.0, 2
010, Equal Means, 16, 856.0, 2
010, Equal Means, 18, 950.0, 2
010, Equal Means, 20, 1026.0, 2
010, High Var, 0, 46.0, 0
010, High Var, 2, 186.0, 0
010, High Var, 4, 266.0, 1
010, High Var, 6, 354.0, 3
010, High Var, 8, 446.0, 3
010, High Var, 10, 552.0, 4
010, High Var, 12, 664.0, 6
010, High Var, 14, 756.0, 6
010, High Var, 16, 853.0, 7
010, High Var, 18, 959.0, 7
010, High Var, 20, 1035.0, 7
010, Low Var, 0, 38.0, 0
010, Low Var, 2, 125.0, 0
010, Low Var, 4, 222.0, 1
010, Low Var, 6, 320.0, 1
010, Low Var, 8, 401.0, 2
011, IOWA, 0, 50.0, 0
011, IOWA, 2, 113.0, 1
011, IOWA, 4, 233.0, 1
011, IOWA, 6, 299.0, 2
011, IOWA, 8, 386.0, 3
011, IOWA, 10, 465.0, 4
011, IOWA, 12, 539.0, 4
011, IOWA, 14, 645.0, 4
011, IOWA, 16, 759.0, 4
011, IOWA, 18, 827.0, 6
011, IOWA, 20, 906.0, 8
011, IOWA, 0, 42.0, 0
011, IOWA, 2, 140.0, 0
011, IOWA, 4, 251.0, 0
011, IOWA, 6, 339.0, 2
011, IOWA, 8, 450.0, 3
011, IOWA, 10, 557.0, 3
011, IOWA, 12, 689.0, 4
011, IOWA, 14, 778.0, 5
011, IOWA, 16, 865.0, 7
011, IOWA, 18, 952.0, 9
011, IOWA, 20, 1045.0, 11
011, Low Var, 0, 55.0, 0
011, Low Var, 2, 151.0, 1
011, Low Var, 4, 253.0, 3
011, Low Var, 6, 353.0, 5
011, Low Var, 8, 458.0, 7
011, Low Var, 10, 562.0, 8
011, Low Var, 12, 646.0, 10
011, Low Var, 14, 727.0, 12
011, Low Var, 16, 851.0, 13
011, Low Var, 18, 953.0, 13
011, Low Var, 20, 1032.0, 15
011, Equal Means, 0, 53.0, 0
011, Equal Means, 2, 153.0, 2
011, Equal Means, 4, 260.0, 4
011, Equal Means, 6, 382.0, 5
011, Equal Means, 8, 483.0, 6
011, Equal Means, 10, 593.0, 6
011, Equal Means, 12, 699.0, 7
011, Equal Means, 14, 795.0, 8
011, Equal Means, 16, 917.0, 9
011, Equal Means, 18, 1023.0, 9
011, Equal Means, 20, 1140.0, 9
011, Equal Means, 0, 36.0, 0
011, Equal Means, 2, 147.0, 2
011, Equal Means, 4, 274.0, 3
011, Equal Means, 6, 386.0, 3
011, Equal Means, 8, 501.0, 4
011, Equal Means, 10, 619.0, 6
011, Equal Means, 12, 706.0, 8
011, Equal Means, 14, 802.0, 10
011, Equal Means, 16, 910.0, 12
011, Equal Means, 18, 1024.0, 14
011, Equal Means, 20, 1119.0, 16
011, IOWA, 0, 64.0, 0
011, IOWA, 2, 176.0, 1
011, IOWA, 4, 308.0, 3
011, IOWA, 6, 427.0, 5
011, IOWA, 8, 507.0, 6
011, IOWA, 10, 612.0, 8
011, IOWA, 12, 693.0, 10
011, IOWA, 14, 786.0, 12
011, IOWA, 16, 862.0, 14
011, IOWA, 18, 930.0, 16
011, IOWA, 20, 999.0, 18
011, High Var, 0, 75.0, 0
011, High Var, 2, 199.0, 2
011, High Var, 4, 307.0, 3
011, High Var, 6, 387.0, 5
011, High Var, 8, 456.0, 7
011, High Var, 10, 523.0, 9
011, High Var, 12, 620.0, 11
011, High Var, 14, 748.0, 12
011, High Var, 16, 867.0, 12
011, High Var, 18, 954.0, 13
011, High Var, 20, 1050.0, 15
011, Low Var, 0, 54.0, 0
011, Low Var, 2, 152.0, 2
011, Low Var, 4, 259.0, 4
011, Low Var, 6, 376.0, 5
011, Low Var, 8, 478.0, 5
011, Low Var, 10, 577.0, 6
011, Low Var, 12, 673.0, 6
011, Low Var, 14, 781.0, 6
011, Low Var, 16, 884.0, 6
011, Low Var, 18, 995.0, 8
011, Low Var, 20, 1102.0, 10
011, High Var, 0, 58.0, 0
011, High Var, 2, 183.0, 1
011, High Var, 4, 300.0, 3
011, High Var, 6, 422.0, 4
011, High Var, 8, 544.0, 6
011, High Var, 10, 650.0, 7
011, High Var, 12, 734.0, 9
011, High Var, 14, 806.0, 11
011, High Var, 16, 901.0, 13
011, High Var, 18, 988.0, 15
011, High Var, 20, 1069.0, 17
011, IOWA, 0, 44.0, 0
011, IOWA, 2, 143.0, 2
011, IOWA, 4, 228.0, 4
011, IOWA, 6, 321.0, 6
011, IOWA, 8, 407.0, 8
011, IOWA, 10, 495.0, 10
011, IOWA, 12, 577.0, 12
011, IOWA, 14, 665.0, 14
011, IOWA, 16, 758.0, 16
011, IOWA, 18, 853.0, 18
011, IOWA, 20, 973.0, 19
011, Low Var, 0, 55.0, 0
011, Low Var, 2, 156.0, 2
011, Low Var, 4, 267.0, 4
011, Low Var, 6, 378.0, 6
011, Low Var, 8, 478.0, 8
011, Low Var, 10, 587.0, 10
011, Low Var, 12, 680.0, 11
011, Low Var, 14, 767.0, 13
011, Low Var, 16, 859.0, 15
011, Low Var, 18, 950.0, 17
011, Low Var, 20, 1038.0, 19
011, Equal Means, 0, 41.0, 0
011, Equal Means, 2, 156.0, 2
011, Equal Means, 4, 280.0, 3
011, Equal Means, 6, 372.0, 4
011, Equal Means, 8, 470.0, 6
012, IOWA, 0, 55.0, 0
012, IOWA, 2, 157.0, 0
012, IOWA, 4, 233.0, 1
012, IOWA, 6, 311.0, 2
012, IOWA, 8, 399.0, 3
012, IOWA, 10, 528.0, 3
012, IOWA, 12, 601.0, 4
012, IOWA, 14, 677.0, 6
012, IOWA, 16, 746.0, 7
012, IOWA, 18, 804.0, 9
012, IOWA, 20, 877.0, 9
012, IOWA, 0, 49.0, 0
012, IOWA, 2, 126.0, 1
012, IOWA, 4, 237.0, 2
012, IOWA, 6, 340.0, 2
012, IOWA, 8, 418.0, 4
012, IOWA, 10, 508.0, 5
012, IOWA, 12, 602.0, 5
012, IOWA, 14, 678.0, 7
012, IOWA, 16, 753.0, 9
012, IOWA, 18, 828.0, 11
012, IOWA, 20, 904.0, 13
012, Equal Means, 0, 56.0, 0
012, Equal Means, 2, 152.0, 0
012, Equal Means, 4, 248.0, 0
012, Equal Means, 6, 341.0, 0
012, Equal Means, 8, 449.0, 0
012, Equal Means, 10, 540.0, 0
012, Equal Means, 12, 626.0, 2
012, Equal Means, 14, 732.0, 3
012, Equal Means, 16, 817.0, 4
012, Equal Means, 18, 911.0, 6
012, Equal Means, 20, 1016.0, 8
012, Equal Means, 0, 52.0, 0
012, Equal Means, 2, 160.0, 0
012, Equal Means, 4, 256.0, 1
012, Equal Means, 6, 351.0, 3
012, Equal Means, 8, 449.0, 3
012, Equal Means, 10, 523.0, 5
012, Equal Means, 12, 622.0, 7
012, Equal Means, 14, 707.0, 7
012, Equal Means, 16, 809.0, 8
012, Equal Means, 18, 895.0, 8
012, Equal Means, 20, 982.0, 8
012, High Var, 0, 34.0, 0
012, High Var, 2, 141.0, 1
012, High Var, 4, 203.0, 3
012, High Var, 6, 294.0, 5
012, High Var, 8, 399.0, 5
012, High Var, 10, 486.0, 6
012, High Var, 12, 573.0, 7
012, High Var, 14, 674.0, 8
012, High Var, 16, 746.0, 9
012, High Var, 18, 811.0, 11
012, High Var, 20, 902.0, 12
012, High Var, 0, 32.0, 0
012, High Var, 2, 127.0, 2
012, High Var, 4, 200.0, 4
012, High Var, 6, 295.0, 5
012, High Var, 8, 404.0, 7
012, High Var, 10, 494.0, 9
012, High Var, 12, 619.0, 11
012, High Var, 14, 723.0, 13
012, High Var, 16, 830.0, 13
012, High Var, 18, 930.0, 13
012, High Var, 20, 1018.0, 15
012, High Var, 0, 59.0, 0
012, High Var, 2, 157.0, 0
012, High Var, 4, 226.0, 2
012, High Var, 6, 327.0, 3
012, High Var, 8, 415.0, 4
012, High Var, 10, 495.0, 6
012, High Var, 12, 587.0, 8
012, High Var, 14, 689.0, 8
012, High Var, 16, 772.0, 8
012, High Var, 18, 841.0, 10
012, High Var, 20, 927.0, 12
012, IOWA, 0, 44.0, 0
012, IOWA, 2, 107.0, 1
012, IOWA, 4, 201.0, 3
012, IOWA, 6, 290.0, 3
012, IOWA, 8, 367.0, 4
012, IOWA, 10, 469.0, 4
012, IOWA, 12, 541.0, 6
012, IOWA, 14, 622.0, 8
012, IOWA, 16, 696.0, 10
012, IOWA, 18, 770.0, 12
012, IOWA, 20, 846.0, 14
012, Equal Means, 0, 50.0, 0
012, Equal Means, 2, 155.0, 0
012, Equal Means, 4, 244.0, 0
012, Equal Means, 6, 343.0, 0
012, Equal Means, 8, 455.0, 2
012, Equal Means, 10, 533.0, 4
012, Equal Means, 12, 628.0, 5
012, Equal Means, 14, 728.0, 5
012, Equal Means, 16, 840.0, 7
012, Equal Means, 18, 941.0, 7
012, Equal Means, 20, 1023.0, 8
012, Low Var, 0, 36.0, 0
012, Low Var, 2, 111.0, 2
012, Low Var, 4, 182.0, 4
012, Low Var, 6, 258.0, 6
012, Low Var, 8, 329.0, 8
012, Low Var, 10, 398.0, 10
012, Low Var, 12, 469.0, 12
012, Low Var, 14, 545.0, 14
012, Low Var, 16, 621.0, 16
012, Low Var, 18, 694.0, 18
012, Low Var, 20, 771.0, 20
012, IOWA, 0, 60.0, 0
012, IOWA, 2, 135.0, 1
012, IOWA, 4, 214.0, 3
012, IOWA, 6, 282.0, 5
012, IOWA, 8, 347.0, 7
012, IOWA, 10, 394.0, 9
012, IOWA, 12, 480.0, 11
012, IOWA, 14, 556.0, 13
012, IOWA, 16, 609.0, 15
012, IOWA, 18, 691.0, 17
012, IOWA, 20, 776.0, 19
012, Low Var, 0, 32.0, 0
012, Low Var, 2, 109.0, 2
012, Low Var, 4, 179.0, 4
012, Low Var, 6, 250.0, 6
012, Low Var, 8, 324.0, 8
013, IOWA, 0, 48.0, 0
013, IOWA, 2, 180.0, 0
013, IOWA, 4, 302.0, 0
013, IOWA, 6, 429.0, 0
013, IOWA, 8, 552.0, 0
013, IOWA, 10, 640.0, 1
013, IOWA, 12, 749.0, 2
013, IOWA, 14, 849.0, 3
013, IOWA, 16, 938.0, 4
013, IOWA, 18, 1005.0, 6
013, IOWA, 20, 1096.0, 8
013, IOWA, 0, 67.0, 0
013, IOWA, 2, 164.0, 1
013, IOWA, 4, 315.0, 1
013, IOWA, 6, 419.0, 2
013, IOWA, 8, 512.0, 4
013, IOWA, 10, 613.0, 6
013, IOWA, 12, 709.0, 8
013, IOWA, 14, 827.0, 9
013, IOWA, 16, 922.0, 10
013, IOWA, 18, 1014.0, 12
013, IOWA, 20, 1123.0, 12
013, High Var, 0, 42.0, 0
013, High Var, 2, 124.0, 2
013, High Var, 4, 199.0, 4
013, High Var, 6, 321.0, 6
013, High Var, 8, 429.0, 8
013, High Var, 10, 549.0, 9
013, High Var, 12, 665.0, 10
013, High Var, 14, 776.0, 10
013, High Var, 16, 882.0, 12
013, High Var, 18, 988.0, 14
013, High Var, 20, 1098.0, 16
013, Low Var, 0, 60.0, 0
013, Low Var, 2, 155.0, 1
013, Low Var, 4, 252.0, 3
013, Low Var, 6, 350.0, 5
013, Low Var, 8, 451.0, 7
013, Low Var, 10, 546.0, 9
013, Low Var, 12, 649.0, 10
013, Low Var, 14, 768.0, 10
013, Low Var, 16, 865.0, 12
013, Low Var, 18, 993.0, 12
013, Low Var, 20, 1098.0, 12
013, Equal Means, 0, 80.0, 0
013, Equal Means, 2, 206.0, 0
013, Equal Means, 4, 307.0, 2
013, Equal Means, 6, 422.0, 3
013, Equal Means, 8, 540.0, 4
013, Equal Means, 10, 645.0, 5
013, Equal Means, 12, 758.0, 7
013, Equal Means, 14, 889.0, 8
013, Equal Means, 16, 1001.0, 9
013, Equal Means, 18, 1133.0, 10
013, Equal Means, 20, 1262.0, 11
013, IOWA, 0, 47.0, 0
013, IOWA, 2, 151.0, 2
013, IOWA, 4, 249.0, 4
013, IOWA, 6, 343.0, 6
013, IOWA, 8, 447.0, 8
013, IOWA, 10, 561.0, 9
013, IOWA, 12, 703.0, 10
013, IOWA, 14, 783.0, 10
013, IOWA, 16, 881.0, 12
013, IOWA, 18, 962.0, 14
013, IOWA, 20, 1057.0, 16
013, Low Var, 0, 56.0, 0
013, Low Var, 2, 174.0, 2
013, Low Var, 4, 289.0, 4
013, Low Var, 6, 401.0, 5
013, Low Var, 8, 500.0, 7
013, Low Var, 10, 603.0, 7
013, Low Var, 12, 703.0, 9
013, Low Var, 14, 802.0, 11
013, Low Var, 16, 916.0, 12
013, Low Var, 18, 1020.0, 13
013, Low Var, 20, 1119.0, 15
013, IOWA, 0, 73.0, 0
013, IOWA, 2, 197.0, 0
013, IOWA, 4, 338.0, 1
013, IOWA, 6, 443.0, 2
013, IOWA, 8, 543.0, 4
013, IOWA, 10, 647.0, 6
013, IOWA, 12, 745.0, 8
013, IOWA, 14, 858.0, 8
013, IOWA, 16, 935.0, 9
013, IOWA, 18, 1029.0, 11
013, IOWA, 20, 1156.0, 12
013, High Var, 0, 63.0, 0
013, High Var, 2, 211.0, 0
013, High Var, 4, 342.0, 1
013, High Var, 6, 444.0, 2
013, High Var, 8, 530.0, 4
013, High Var, 10, 589.0, 6
013, High Var, 12, 676.0, 8
013, High Var, 14, 776.0, 8
013, High Var, 16, 893.0, 10
013, High Var, 18, 1006.0, 11
013, High Var, 20, 1109.0, 12
013, Equal Means, 0, 74.0, 0
013, Equal Means, 2, 194.0, 1
013, Equal Means, 4, 318.0, 1
013, Equal Means, 6, 449.0, 2
013, Equal Means, 8, 559.0, 2
013, Equal Means, 10, 675.0, 3
013, Equal Means, 12, 788.0, 5
013, Equal Means, 14, 905.0, 7
013, Equal Means, 16, 1036.0, 7
013, Equal Means, 18, 1162.0, 8
013, Equal Means, 20, 1271.0, 9
013, Low Var, 0, 55.0, 0
013, Low Var, 2, 171.0, 2
013, Low Var, 4, 293.0, 3
013, Low Var, 6, 420.0, 3
013, Low Var, 8, 539.0, 5
013, Low Var, 10, 660.0, 7
013, Low Var, 12, 770.0, 9
013, Low Var, 14, 890.0, 11
013, Low Var, 16, 995.0, 12
013, Low Var, 18, 1091.0, 14
013, Low Var, 20, 1196.0, 16
013, High Var, 0, 44.0, 0
013, High Var, 2, 159.0, 2
013, High Var, 4, 267.0, 4
013, High Var, 6, 389.0, 6
013, High Var, 8, 490.0, 7
014, IOWA, 0, 28.0, 0
014, IOWA, 2, 95.0, 2
014, IOWA, 4, 188.0, 2
014, IOWA, 6, 254.0, 3
014, IOWA, 8, 304.0, 3
014, IOWA, 10, 354.0, 4
014, IOWA, 12, 415.0, 6
014, IOWA, 14, 467.0, 8
014, IOWA, 16, 520.0, 10
014, IOWA, 18, 579.0, 12
014, IOWA, 20, 595.0, 13
014, IOWA, 0, 48.0, 0
014, IOWA, 2, 103.0, 1
014, IOWA, 4, 158.0, 3
014, IOWA, 6, 207.0, 5
014, IOWA, 8, 262.0, 7
014, IOWA, 10, 338.0, 7
014, IOWA, 12, 390.0, 9
014, IOWA, 14, 452.0, 11
014, IOWA, 16, 530.0, 12
014, IOWA, 18, 580.0, 13
014, IOWA, 20, 646.0, 14
014, Equal Means, 0, 17.0, 0
014, Equal Means, 2, 96.0, 1
014, Equal Means, 4, 174.0, 3
014, Equal Means, 6, 231.0, 4
014, Equal Means, 8, 316.0, 5
014, Equal Means, 10, 384.0, 6
014, Equal Means, 12, 470.0, 7
014, Equal Means, 14, 544.0, 8
014, Equal Means, 16, 613.0, 9
014, Equal Means, 18, 700.0, 11
014, Equal Means, 20, 775.0, 11
014, Low Var, 0, 37.0, 0
014, Low Var, 2, 106.0, 2
014, Low Var, 4, 177.0, 4
014, Low Var, 6, 244.0, 5
014, Low Var, 8, 297.0, 7
014, Low Var, 10, 347.0, 9
014, Low Var, 12, 401.0, 11
014, Low Var, 14, 459.0, 13
014, Low Var, 16, 519.0, 15
014, Low Var, 18, 581.0, 17
014, Low Var, 20, 662.0, 17
014, Low Var, 0, 39.0, 0
014, Low Var, 2, 109.0, 1
014, Low Var, 4, 178.0, 1
014, Low Var, 6, 239.0, 3
014, Low Var, 8, 304.0, 4
014, Low Var, 10, 366.0, 4
014, Low Var, 12, 429.0, 5
014, Low Var, 14, 494.0, 5
014, Low Var, 16, 544.0, 7
014, Low Var, 18, 595.0, 9
014, Low Var, 20, 643.0, 11
014, Equal Means, 0, 37.0, 0
014, Equal Means, 2, 118.0, 2
014, Equal Means, 4, 197.0, 2
014, Equal Means, 6, 263.0, 3
014, Equal Means, 8, 344.0, 4
014, Equal Means, 10, 413.0, 5
014, Equal Means, 12, 490.0, 5
014, Equal Means, 14, 568.0, 6
014, Equal Means, 16, 639.0, 7
014, Equal Means, 18, 713.0, 8
014, Equal Means, 20, 779.0, 9
014, Equal Means, 0, 26.0, 0
014, Equal Means, 2, 91.0, 2
014, Equal Means, 4, 169.0, 4
014, Equal Means, 6, 241.0, 5
014, Equal Means, 8, 317.0, 5
014, Equal Means, 10, 392.0, 7
014, Equal Means, 12, 449.0, 9
014, Equal Means, 14, 495.0, 11
014, Equal Means, 16, 588.0, 13
014, Equal Means, 18, 660.0, 14
014, Equal Means, 20, 726.0, 16
014, Low Var, 0, 43.0, 0
014, Low Var, 2, 96.0, 1
014, Low Var, 4, 142.0, 3
014, Low Var, 6, 209.0, 5
014, Low Var, 8, 276.0, 5
014, Low Var, 10, 336.0, 7
014, Low Var, 12, 391.0, 9
014, Low Var, 14, 445.0, 10
014, Low Var, 16, 534.0, 11
014, Low Var, 18, 602.0, 11
014, Low Var, 20, 653.0, 13
014, High Var, 0, 52.0, 0
014, High Var, 2, 99.0, 2
014, High Var, 4, 186.0, 2
014, High Var, 6, 256.0, 3
014, High Var, 8, 334.0, 3
014, High Var, 10, 408.0, 4
014, High Var, 12, 475.0, 5
014, High Var, 14, 536.0, 6
014, High Var, 16, 573.0, 8
014, High Var, 18, 617.0, 10
014, High Var, 20, 665.0, 12
014, IOWA, 0, 26.0, 0
014, IOWA, 2, 76.0, 2
014, IOWA, 4, 127.0, 4
014, IOWA, 6, 185.0, 6
014, IOWA, 8, 230.0, 8
014, IOWA, 10, 284.0, 10
014, IOWA, 12, 334.0, 12
014, IOWA, 14, 393.0, 14
014, IOWA, 16, 450.0, 16
014, IOWA, 18, 499.0, 18
014, IOWA, 20, 557.0, 20
014, High Var, 0, 46.0, 0
014, High Var, 2, 112.0, 2
014, High Var, 4, 180.0, 4
014, High Var, 6, 265.0, 6
014, High Var, 8, 338.0, 6
014, High Var, 10, 412.0, 7
014, High Var, 12, 502.0, 9
014, High Var, 14, 578.0, 9
014, High Var, 16, 658.0, 10
014, High Var, 18, 731.0, 12
014, High Var, 20, 800.0, 13
014, High Var, 0, 49.0, 0
014, High Var, 2, 141.0, 2
014, High Var, 4, 199.0, 3
014, High Var, 6, 247.0, 5
014, High Var, 8, 323.0, 7
015, IOWA, 0, 47.0, 0
015, IOWA, 2, 172.0, 0
015, IOWA, 4, 295.0, 0
015, IOWA, 6, 392.0, 1
015, IOWA, 8, 512.0, 1
015, IOWA, 10, 600.0, 2
015, IOWA, 12, 719.0, 2
015, IOWA, 14, 797.0, 2
015, IOWA, 16, 914.0, 2
015, IOWA, 18, 1025.0, 2
015, IOWA, 20, 1161.0, 2
015, IOWA, 0, 74.0, 0
015, IOWA, 2, 173.0, 1
015, IOWA, 4, 267.0, 3
015, IOWA, 6, 362.0, 5
015, IOWA, 8, 469.0, 7
015, IOWA, 10, 582.0, 8
015, IOWA, 12, 687.0, 8
015, IOWA, 14, 798.0, 8
015, IOWA, 16, 900.0, 10
015, IOWA, 18, 999.0, 12
015, IOWA, 20, 1107.0, 14
015, Equal Means, 0, 63.0, 0
015, Equal Means, 2, 168.0, 1
015, Equal Means, 4, 284.0, 1
015, Equal Means, 6, 411.0, 1
015, Equal Means, 8, 500.0, 3
015, Equal Means, 10, 605.0, 5
015, Equal Means, 12, 750.0, 6
015, Equal Means, 14, 868.0, 6
015, Equal Means, 16, 980.0, 7
015, Equal Means, 18, 1100.0, 7
015, Equal Means, 20, 1206.0, 7
015, Low Var, 0, 57.0, 0
015, Low Var, 2, 184.0, 0
015, Low Var, 4, 295.0, 0
015, Low Var, 6, 394.0, 1
015, Low Var, 8, 488.0, 3
015, Low Var, 10, 577.0, 5
015, Low Var, 12, 670.0, 7
015, Low Var, 14, 762.0, 9
015, Low Var, 16, 854.0, 11
015, Low Var, 18, 972.0, 12
015, Low Var, 20, 1088.0, 13
015, Low Var, 0, 70.0, 0
015, Low Var, 2, 176.0, 0
015, Low Var, 4, 265.0, 2
015, Low Var, 6, 361.0, 4
015, Low Var, 8, 461.0, 6
015, Low Var, 10, 588.0, 6
015, Low Var, 12, 693.0, 6
015, Low Var, 14, 814.0, 7
015, Low Var, 16, 934.0, 7
015, Low Var, 18, 1043.0, 7
015, Low Var, 20, 1136.0, 9
015, Low Var, 0, 56.0, 0
015, Low Var, 2, 158.0, 0
015, Low Var, 4, 277.0, 0
015, Low Var, 6, 396.0, 0
015, Low Var, 8, 499.0, 1
015, Low Var, 10, 603.0, 3
015, Low Var, 12, 702.0, 5
015, Low Var, 14, 791.0, 7
015, Low Var, 16, 883.0, 9
015, Low Var, 18, 985.0, 11
015, Low Var, 20, 1075.0, 13
015, Equal Means, 0, 51.0, 0
015, Equal Means, 2, 171.0, 2
015, Equal Means, 4, 294.0, 3
015, Equal Means, 6, 413.0, 3
015, Equal Means, 8, 522.0, 3
015, Equal Means, 10, 628.0, 4
015, Equal Means, 12, 740.0, 4
015, Equal Means, 14, 857.0, 5
015, Equal Means, 16, 962.0, 6
015, Equal Means, 18, 1078.0, 6
015, Equal Means, 20, 1192.0, 6
015, High Var, 0, 61.0, 0
015, High Var, 2, 204.0, 0
015, High Var, 4, 326.0, 2
015, High Var, 6, 445.0, 3
015, High Var, 8, 552.0, 3
015, High Var, 10, 661.0, 5
015, High Var, 12, 768.0, 7
015, High Var, 14, 882.0, 7
015, High Var, 16, 980.0, 8
015, High Var, 18, 1070.0, 10
015, High Var, 20, 1167.0, 12
015, IOWA, 0, 45.0, 0
015, IOWA, 2, 145.0, 2
015, IOWA, 4, 248.0, 4
015, IOWA, 6, 347.0, 6
015, IOWA, 8, 442.0, 8
015, IOWA, 10, 536.0, 10
015, IOWA, 12, 627.0, 12
015, IOWA, 14, 728.0, 12
015, IOWA, 16, 823.0, 12
015, IOWA, 18, 935.0, 12
015, IOWA, 20, 1042.0, 13
015, Equal Means, 0, 55.0, 0
015, Equal Means, 2, 173.0, 1
015, Equal Means, 4, 307.0, 1
015, Equal Means, 6, 424.0, 2
015, Equal Means, 8, 544.0, 4
015, Equal Means, 10, 665.0, 4
015, Equal Means, 12, 788.0, 4
015, Equal Means, 14, 905.0, 5
015, Equal Means, 16, 1019.0, 7
015, Equal Means, 18, 1130.0, 9
015, Equal Means, 20, 1251.0, 10
015, High Var, 0, 40.0, 0
015, High Var, 2, 161.0, 2
015, High Var, 4, 254.0, 4
015, High Var, 6, 357.0, 4
015, High Var, 8, 465.0, 4
015, High Var, 10, 591.0, 4
015, High Var, 12, 731.0, 5
015, High Var, 14, 858.0, 6
015, High Var, 16, 981.0, 8
015, High Var, 18, 1071.0, 9
015, High Var, 20, 1157.0, 11
015, IOWA, 0, 49.0, 0
