newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_7.stopped,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,18.805110200017225,18.805110200017225,space,3.096428899996681,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
0,0,0,0,0,0,0,0,,,,,,,,,22.00282920000609,22.00282920000609,space,1.8293789000017568,,,,,,,,,,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
0,0,0,0,,,,,,,,,,,,,,,,,23.900945600005798,23.900945600005798,23.900945600005798,23.900945600005798,23.900945600005798,q,0.9383403999963775,24.884685700002592,24.915617499995278,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
1,0,1,0,,,,,,,,,,,,,,,,,25.285491899994668,25.285491899994668,25.285491899994668,25.285491899994668,25.285491899994668,q,0.4847820999857504,25.81509439999354,25.84830320000765,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
2,0,2,0,,,,,,,,,,,,,,,,,26.249741400009952,26.249741400009952,26.249741400009952,26.249741400009952,26.249741400009952,w,0.8543072999746073,27.15001499999198,27.181078499997966,27.181078499997966,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
3,0,3,0,,,,,,,,,,,,,,,,,27.584365599992452,27.584365599992452,27.584365599992452,27.584365599992452,27.584365599992452,w,0.273766300000716,27.88225130000501,27.91390980000142,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
4,0,4,0,,,,,,,,,,,,,,,,,28.315232399996603,28.315232399996603,28.315232399996603,28.315232399996603,28.315232399996603,p,1.2580041000037454,29.61446499999147,29.645697400002973,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
5,0,5,0,,,,,,,,,,,,,,,,,30.047729900019476,30.047729900019476,30.047729900019476,30.047729900019476,30.047729900019476,p,0.0033107000053860247,30.09615309999208,30.129692999995314,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
6,0,6,0,,,,,,,,,,,,,,,,,30.530747800017707,30.530747800017707,30.530747800017707,30.530747800017707,30.530747800017707,p,0.1389342000184115,30.71305340001709,30.74525150001864,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
7,0,7,0,,,,,,,,,,,,,,,,,31.14719280001009,31.14719280001009,31.14719280001009,31.14719280001009,31.14719280001009,p,0.023983599996427074,31.212304400018184,31.24578460000339,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
8,0,8,0,,,,,,,,,,,,,,,,,31.64696169999661,31.64696169999661,31.64696169999661,31.64696169999661,31.64696169999661,p,0.14867019999655895,31.829021300014574,31.86115310000605,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
9,0,9,0,,,,,,,,,,,,,,,,,32.26329140001326,32.26329140001326,32.26329140001326,32.26329140001326,32.26329140001326,p,0.06891210001776926,32.36192160000792,32.38068880001083,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
10,0,10,0,,,,,,,,,,,,,,,,,32.796354000020074,32.796354000020074,32.796354000020074,32.796354000020074,32.796354000020074,p,0.08304040000075474,32.91162389999954,32.94514100000379,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
11,0,11,0,,,,,,,,,,,,,,,,,33.346310599998105,33.346310599998105,33.346310599998105,33.346310599998105,33.346310599998105,p,0.08567020000191405,33.46122150000883,33.49460830001044,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
12,0,12,0,,,,,,,,,,,,,,,,,33.89569229999324,33.89569229999324,33.89569229999324,33.89569229999324,33.89569229999324,p,0.017656599986366928,33.94448800000828,33.96338000000105,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
13,0,13,0,,,,,,,,,,,,,,,,,34.37882919999538,34.37882919999538,34.37882919999538,34.37882919999538,34.37882919999538,p,0.4321656999818515,34.84374650000245,34.863107300014235,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
14,0,14,0,,,,,,,,,,,,,,,,,35.26287850001245,35.26287850001245,35.26287850001245,35.26287850001245,35.26287850001245,p,0.046899300010409206,35.34360180000658,35.362460200005444,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
15,0,15,0,,,,,,,,,,,,,,,,,35.77813900000183,35.77813900000183,35.77813900000183,35.77813900000183,35.77813900000183,p,0.004444099991815165,35.82658250001259,35.84553200000664,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
16,0,16,0,,,,,,,,,,,,,,,,,36.26121290001902,36.26121290001902,36.26121290001902,36.26121290001902,36.26121290001902,p,0.3950525000109337,36.6930282000103,36.71185759999207,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
17,0,17,0,,,,,,,,,,,,,,,,,37.11182530000224,37.11182530000224,37.11182530000224,37.11182530000224,37.11182530000224,p,0.009203200024785474,37.14364530000603,37.160382600006415,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
18,0,18,0,,,,,,,,,,,,,,,,,37.57722750000539,37.57722750000539,37.57722750000539,37.57722750000539,37.57722750000539,p,0.3291073000000324,37.926863700005924,37.943479600013234,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
19,0,19,0,,,,,0,0,0,0,,,,,,,,,38.360051399999065,38.360051399999065,38.360051399999065,38.360051399999065,38.360051399999065,p,0.32040550000965595,38.724386699992465,38.74407099999371,,39.17489729999215,39.17489729999215,39.17489729999215,622509,space,5.223812599986559,44.4388472000137,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-12_16h00.59.217,bandit task,2022.2.5,59.76675426992616,
,,,,,,,,,,,,,,,,,,,,44.8568620000151,44.8568620000151,44.8568620000151,44.8568620000151,44.8568620000151,p,4.649070399987977,49.53707300001406,49.554105100018205,,,,,,,,,,,,,,,
