newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_7.stopped,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,27.422042400110513,27.422042400110513,space,0.2964412998408079,,,,,,,,,,,,,,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
0,0,0,0,0,0,0,0,,,,,,,,,27.74079419998452,27.74079419998452,space,0.698866999708116,,,,,,,,,,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
0,0,0,0,,,,,,,,,,,,,,,,,28.46796080004424,28.46796080004424,28.46796080004424,28.46796080004424,28.46796080004424,q,0.5312166998628527,29.016103600151837,29.023150800028816,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
1,0,1,0,,,,,,,,,,,,,,,,,29.429331500083208,29.429331500083208,29.429331500083208,29.429331500083208,29.429331500083208,o,0.06221799994818866,29.50140710012056,29.5162496000994,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
2,0,2,0,,,,,,,,,,,,,,,,,29.91481740004383,29.91481740004383,29.91481740004383,29.91481740004383,29.91481740004383,p,0.0916725997813046,30.019623100059107,30.030217200051993,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
3,0,3,0,,,,,,,,,,,,,,,,,30.435863099992275,30.435863099992275,30.435863099992275,30.435863099992275,30.435863099992275,w,0.06752799986861646,30.51419010013342,30.530156000051647,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
4,0,4,0,,,,,,,,,,,,,,,,,30.929011200089008,30.929011200089008,30.929011200089008,30.929011200089008,30.929011200089008,o,0.05900289979763329,30.99537830008194,31.009375300025567,31.009375300025567,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
5,0,5,0,,,,,,,,,,,,,,,,,31.414746300084516,31.414746300084516,31.414746300084516,31.414746300084516,31.414746300084516,q,0.05525489989668131,31.474747200030833,31.488549300003797,31.488549300003797,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
6,0,6,0,,,,,,,,,,,,,,,,,31.89381860010326,31.89381860010326,31.89381860010326,31.89381860010326,31.89381860010326,p,0.07256469991989434,31.97458150004968,31.988603899953887,31.988603899953887,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
7,0,7,0,,,,,,,,,,,,,,,,,32.39377740002237,32.39377740002237,32.39377740002237,32.39377740002237,32.39377740002237,w,0.04706460004672408,32.446772100171074,32.460875699995086,32.460875699995086,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
