newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_7.stopped,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,32.86619640002027,32.86619640002027,32.86619640002027,32.86619640002027,32.86619640002027,o,0.014940700028091669,32.89116380014457,32.905158600071445,32.905158600071445,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
9,0,9,0,,,,,,,,,,,,,,,,,33.31059100013226,33.31059100013226,33.31059100013226,33.31059100013226,33.31059100013226,q,0.05028109974227846,33.370798900024965,33.3845571000129,33.3845571000129,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
10,0,10,0,,,,,,,,,,,,,,,,,33.78980140015483,33.78980140015483,33.78980140015483,33.78980140015483,33.78980140015483,p,0.053690899861976504,33.84964000014588,33.86384370015003,33.86384370015003,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
11,0,11,0,,,,,,,,,,,,,,,,,34.269337699981406,34.269337699981406,34.269337699981406,34.269337699981406,34.269337699981406,w,0.015828999923542142,34.29411610006355,34.308166899951175,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
12,0,12,0,,,,,,,,,,,,,,,,,34.7132904001046,34.7132904001046,34.7132904001046,34.7132904001046,34.7132904001046,o,0.012040300061926246,34.73153150011785,34.74542950000614,34.74542950000614,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
13,0,13,0,,,,,,,,,,,,,,,,,35.15111199999228,35.15111199999228,35.15111199999228,35.15111199999228,35.15111199999228,q,0.013764699921011925,35.16921010008082,35.18301370018162,35.18301370018162,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
14,0,14,0,,,,,,,,,,,,,,,,,35.588953600032255,35.588953600032255,35.588953600032255,35.588953600032255,35.588953600032255,p,0.0012188998516649008,35.59966380009428,35.613609600113705,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
15,0,15,0,,,,,,,,,,,,,,,,,36.01915529998951,36.01915529998951,36.01915529998951,36.01915529998951,36.01915529998951,o,0.4235902999062091,36.447574000107124,36.46069630002603,36.46069630002603,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
16,0,16,0,,,,,,,,,,,,,,,,,36.86642870004289,36.86642870004289,36.86642870004289,36.86642870004289,36.86642870004289,q,0.08360889996401966,36.96065150015056,36.97465780004859,36.97465780004859,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
17,0,17,0,,,,,,,,,,,,,,,,,37.379892100114375,37.379892100114375,37.379892100114375,37.379892100114375,37.379892100114375,p,0.06074439990334213,37.44795040017925,37.46067679999396,37.46067679999396,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
18,0,18,0,,,,,,,,,,,,,,,,,37.86657389998436,37.86657389998436,37.86657389998436,37.86657389998436,37.86657389998436,w,0.07762849982827902,37.953719299985096,37.96773400017992,37.96773400017992,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
19,0,19,0,,,,,0,0,0,0,,,,,,,,,38.37297530006617,38.37297530006617,38.37297530006617,38.37297530006617,38.37297530006617,o,0.4679415998980403,38.849564800038934,38.86366880009882,38.86366880009882,39.26751140016131,39.26751140016131,39.26751140016131,1212,space,2.110620299819857,41.38556500012055,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
20,0,20,0,0,0,0,0,,,,,,,,,41.788497700123116,41.788497700123116,space,1.007235299795866,,,,,,,,,,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
20,0,20,0,,,,,,,,,,,,,,,,,42.810627800179645,42.810627800179645,42.810627800179645,42.810627800179645,42.810627800179645,q,0.4495221998076886,43.266257300041616,43.280449999962,43.280449999962,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
21,0,21,0,,,,,,,,,,,,,,,,,43.68563459999859,43.68563459999859,43.68563459999859,43.68563459999859,43.68563459999859,o,0.02349529997445643,43.71815700014122,43.73180470010266,43.73180470010266,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
22,0,22,0,,,,,,,,,,,,,,,,,44.1374779001344,44.1374779001344,44.1374779001344,44.1374779001344,44.1374779001344,w,0.31924079987220466,44.467497300123796,44.48155390005559,44.48155390005559,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
23,0,23,0,,,,,,,,,,,,,,,,,44.88722959998995,44.88722959998995,44.88722959998995,44.88722959998995,44.88722959998995,p,0.03626059996895492,44.93272799998522,44.947070700116456,44.947070700116456,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
24,0,24,0,,,,,,,,,,,,,,,,,45.35266000009142,45.35266000009142,45.35266000009142,45.35266000009142,45.35266000009142,q,0.04114549979567528,45.39823100017384,45.412403400056064,45.412403400056064,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
25,0,25,0,,,,,,,,,,,,,,,,,45.8177056000568,45.8177056000568,45.8177056000568,45.8177056000568,45.8177056000568,o,0.06040029996074736,45.88455500011332,45.89807770005427,45.89807770005427,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
26,0,26,0,,,,,,,,,,,,,,,,,46.303588500013575,46.303588500013575,46.303588500013575,46.303588500013575,46.303588500013575,w,0.05539239989593625,46.36337890010327,46.377362800063565,46.377362800063565,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
27,0,27,0,,,,,,,,,,,,,,,,,46.78267730004154,46.78267730004154,46.78267730004154,46.78267730004154,46.78267730004154,p,0.03676599985919893,46.82864600000903,46.8427097001113,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
28,0,28,0,,,,,,,,,,,,,,,,,47.2484826000873,47.2484826000873,47.2484826000873,47.2484826000873,47.2484826000873,q,0.055240900022909045,47.30859860009514,47.32177280005999,47.32177280005999,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
29,0,29,0,,,,,,,,,,,,,,,,,47.72774780006148,47.72774780006148,47.72774780006148,47.72774780006148,47.72774780006148,o,0.37114299973472953,48.10642100009136,48.120364899979904,48.120364899979904,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
30,0,30,0,,,,,,,,,,,,,,,,,48.52592619997449,48.52592619997449,48.52592619997449,48.52592619997449,48.52592619997449,w,0.07145669986493886,48.60647070012055,48.62076280009933,48.62076280009933,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
31,0,31,0,,,,,,,,,,,,,,,,,49.025844500167295,49.025844500167295,49.025844500167295,49.025844500167295,49.025844500167295,p,0.04815369984135032,49.0787611999549,49.09275449998677,49.09275449998677,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
32,0,32,0,,,,,,,,,,,,,,,,,49.49812990007922,49.49812990007922,49.49812990007922,49.49812990007922,49.49812990007922,q,0.024358099792152643,49.5300343001727,49.54405670007691,49.54405670007691,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
33,0,33,0,,,,,,,,,,,,,,,,,49.94996910006739,49.94996910006739,49.94996910006739,49.94996910006739,49.94996910006739,o,0.023943999782204628,49.98143450007774,49.99551020003855,49.99551020003855,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
34,0,34,0,,,,,,,,,,,,,,,,,50.4007040001452,50.4007040001452,50.4007040001452,50.4007040001452,50.4007040001452,w,0.012020699912682176,50.419788600178435,50.43284930009395,50.43284930009395,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
35,0,35,0,,,,,,,,,,,,,,,,,50.83858900004998,50.83858900004998,50.83858900004998,50.83858900004998,50.83858900004998,q,0.49478879990056157,51.34255170007236,51.356669400120154,51.356669400120154,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
36,0,36,0,,,,,,,,,,,,,,,,,51.76247600000352,51.76247600000352,51.76247600000352,51.76247600000352,51.76247600000352,o,0.04634839994832873,51.814811600139365,51.82880170014687,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
37,0,37,0,,,,,,,,,,,,,,,,,52.2341644000262,52.2341644000262,52.2341644000262,52.2341644000262,52.2341644000262,w,0.04687629989348352,52.28698760014959,52.30092180008069,52.30092180008069,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
38,0,38,0,,,,,,,,,,,,,,,,,52.706601900048554,52.706601900048554,52.706601900048554,52.706601900048554,52.706601900048554,p,0.002872199984267354,52.71859830012545,52.73147890018299,52.73147890018299,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
39,0,39,0,,,,,0,0,0,0,,,,,,,,,53.13727950002067,53.13727950002067,53.13727950002067,53.13727950002067,53.13727950002067,o,0.36085599986836314,53.50226270011626,53.51611640001647,53.51611640001647,53.919518399983644,53.919518399983644,53.919518399983644,766,space,1.515590799972415,55.44790849997662,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
40,0,40,0,0,0,0,0,,,,,,,,,55.85057900007814,55.85057900007814,space,1.2304817000404,,,,,,,,,,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
40,0,40,0,,,,,,,,,,,,,,,,,57.09529480012134,57.09529480012134,57.09529480012134,57.09529480012134,57.09529480012134,q,0.6813556998968124,57.78714230004698,57.80107090016827,57.80107090016827,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
41,0,41,0,,,,,,,,,,,,,,,,,58.20664670015685,58.20664670015685,58.20664670015685,58.20664670015685,58.20664670015685,o,0.0992085998877883,58.31490930006839,58.328732300084084,58.328732300084084,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
42,0,42,0,,,,,,,,,,,,,,,,,58.73412639996968,58.73412639996968,58.73412639996968,58.73412639996968,58.73412639996968,p,0.05794239998795092,58.800932300044224,58.81489050015807,58.81489050015807,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
43,0,43,0,,,,,,,,,,,,,,,,,59.22052870015614,59.22052870015614,59.22052870015614,59.22052870015614,59.22052870015614,w,0.039560399716719985,59.26634360011667,59.28006450016983,59.28006450016983,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
44,0,44,0,,,,,,,,,,,,,,,,,59.685475799953565,59.685475799953565,59.685475799953565,59.685475799953565,59.685475799953565,q,0.4576180998701602,60.14810420013964,60.16206290014088,60.16206290014088,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
45,0,45,0,,,,,,,,,,,,,,,,,60.56758420006372,60.56758420006372,60.56758420006372,60.56758420006372,60.56758420006372,p,0.06250159977935255,60.63452800014056,60.64813660015352,60.64813660015352,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
46,0,46,0,,,,,,,,,,,,,,,,,61.05379720008932,61.05379720008932,61.05379720008932,61.05379720008932,61.05379720008932,w,0.03470949991606176,61.09327890002169,61.10641840007156,61.10641840007156,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
47,0,47,0,,,,,,,,,,,,,,,,,61.51260989997536,61.51260989997536,61.51260989997536,61.51260989997536,61.51260989997536,o,0.023307899944484234,61.54415770014748,61.558017699979246,61.558017699979246,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
48,0,48,0,,,,,,,,,,,,,,,,,61.963663100032136,61.963663100032136,61.963663100032136,61.963663100032136,61.963663100032136,p,0.4177003998775035,62.39130480005406,62.40519160008989,62.40519160008989,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
49,0,49,0,,,,,,,,,,,,,,,,,62.810473300050944,62.810473300050944,62.810473300050944,62.810473300050944,62.810473300050944,q,0.08824569988064468,62.90495770005509,62.91897690016776,62.91897690016776,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
50,0,50,0,,,,,,,,,,,,,,,,,63.324340800056234,63.324340800056234,63.324340800056234,63.324340800056234,63.324340800056234,p,0.010811399901285768,63.34251400013454,63.35643699998036,63.35643699998036,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
51,0,51,0,,,,,,,,,,,,,,,,,63.761750699952245,63.761750699952245,63.761750699952245,63.761750699952245,63.761750699952245,w,0.27080869977362454,64.03702799999155,64.05096400016919,64.05096400016919,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
52,0,52,0,,,,,,,,,,,,,,,,,64.45647209999152,64.45647209999152,64.45647209999152,64.45647209999152,64.45647209999152,o,0.00524189998395741,64.46761530009098,64.48158150003292,64.48158150003292,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
53,0,53,0,,,,,,,,,,,,,,,,,64.88724460010417,64.88724460010417,64.88724460010417,64.88724460010417,64.88724460010417,q,0.022159499814733863,64.9189126000274,64.93307410017587,64.93307410017587,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
54,0,54,0,,,,,,,,,,,,,,,,,65.33868010016158,65.33868010016158,65.33868010016158,65.33868010016158,65.33868010016158,p,0.009177299914881587,65.35639730002731,65.3702317001298,65.3702317001298,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
55,0,55,0,,,,,,,,,,,,,,,,,65.77620500000194,65.77620500000194,65.77620500000194,65.77620500000194,65.77620500000194,w,0.032602000050246716,65.81476350012235,65.8287892001681,65.8287892001681,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
56,0,56,0,,,,,,,,,,,,,,,,,66.23405750002712,66.23405750002712,66.23405750002712,66.23405750002712,66.23405750002712,q,0.3556031999178231,66.59935900010169,66.6136608000379,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
57,0,57,0,,,,,,,,,,,,,,,,,67.01923330011778,67.01923330011778,67.01923330011778,67.01923330011778,67.01923330011778,p,0.032850899966433644,67.05847409996204,67.07175480015576,67.07175480015576,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
58,0,58,0,,,,,,,,,,,,,,,,,67.47730539995246,67.47730539995246,67.47730539995246,67.47730539995246,67.47730539995246,q,0.05695949983783066,67.54405630007386,67.55791370011866,67.55791370011866,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
59,0,59,0,,,,,0,0,0,0,,,,,,,,,67.96409090002999,67.96409090002999,67.96409090002999,67.96409090002999,67.96409090002999,p,0.03310899995267391,68.00233469996601,68.0160765000619,68.0160765000619,68.41950710001402,68.41950710001402,68.41950710001402,319329,space,4.640363399870694,73.0722698001191,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
60,0,60,0,0,0,0,0,,,,,,,,,73.475323199993,73.475323199993,space,1.8719174996949732,,,,,,,,,,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
60,0,60,0,,,,,,,,,,,,,,,,,75.35932749998756,75.35932749998756,75.35932749998756,75.35932749998756,75.35932749998756,q,0.49093719990924,75.85647560004145,75.87028750008903,75.87028750008903,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
61,0,61,0,,,,,,,,,,,,,,,,,76.2758111001458,76.2758111001458,76.2758111001458,76.2758111001458,76.2758111001458,w,0.3957158997654915,76.67606900003739,76.690001900075,76.690001900075,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
62,0,62,0,,,,,,,,,,,,,,,,,77.09518770012073,77.09518770012073,77.09518770012073,77.09518770012073,77.09518770012073,p,0.07449460006318986,77.17580890003592,77.18967210012488,77.18967210012488,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
63,0,63,0,,,,,,,,,,,,,,,,,77.59518410009332,77.59518410009332,77.59518410009332,77.59518410009332,77.59518410009332,q,0.10801379987969995,77.7104511000216,77.72454520012252,77.72454520012252,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
64,0,64,0,,,,,,,,,,,,,,,,,78.12992990016937,78.12992990016937,78.12992990016937,78.12992990016937,78.12992990016937,o,0.4465906999539584,78.58545440016314,78.59939210000448,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
65,0,65,0,,,,,,,,,,,,,,,,,79.00492239999585,79.00492239999585,79.00492239999585,79.00492239999585,79.00492239999585,w,0.15780230006203055,79.1696562001016,79.18279710016213,79.18279710016213,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
66,0,66,0,,,,,,,,,,,,,,,,,79.5886767001357,79.5886767001357,79.5886767001357,79.5886767001357,79.5886767001357,p,0.07031799992546439,79.6687750001438,79.6828303001821,79.6828303001821,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
67,0,67,0,,,,,,,,,,,,,,,,,80.08876150008291,80.08876150008291,80.08876150008291,80.08876150008291,80.08876150008291,q,0.07543689967133105,80.16895140009001,80.18269570008852,80.18269570008852,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
68,0,68,0,,,,,,,,,,,,,,,,,80.5886340001598,80.5886340001598,80.5886340001598,80.5886340001598,80.5886340001598,w,0.4171547999139875,81.016232999973,81.03016329999082,81.03016329999082,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
69,0,69,0,,,,,,,,,,,,,,,,,81.43551170011051,81.43551170011051,81.43551170011051,81.43551170011051,81.43551170011051,p,0.0616952998097986,81.50215780013241,81.5161236000713,81.5161236000713,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
70,0,70,0,,,,,,,,,,,,,,,,,81.92154780006967,81.92154780006967,81.92154780006967,81.92154780006967,81.92154780006967,q,0.059324099915102124,81.98822699999437,82.0022380000446,82.0022380000446,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
71,0,71,0,,,,,,,,,,,,,,,,,82.40885920007713,82.40885920007713,82.40885920007713,82.40885920007713,82.40885920007713,o,0.032035499811172485,82.44682550011203,82.46048850007355,82.46048850007355,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
72,0,72,0,,,,,,,,,,,,,,,,,82.86605400010012,82.86605400010012,82.86605400010012,82.86605400010012,82.86605400010012,w,0.02753859991207719,82.89801720017567,82.91204189998098,82.91204189998098,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
73,0,73,0,,,,,,,,,,,,,,,,,83.31751890014857,83.31751890014857,83.31751890014857,83.31751890014857,83.31751890014857,p,0.011403899872675538,83.33552079997025,83.3493067000527,83.3493067000527,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
74,0,74,0,,,,,,,,,,,,,,,,,83.7552356000524,83.7552356000524,83.7552356000524,83.7552356000524,83.7552356000524,q,0.028010999783873558,83.79398129996844,83.80769579997286,83.80769579997286,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
75,0,75,0,,,,,,,,,,,,,,,,,84.213184799999,84.213184799999,84.213184799999,84.213184799999,84.213184799999,w,0.4045414999127388,84.62733709998429,84.64131800015457,84.64131800015457,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
76,0,76,0,,,,,,,,,,,,,,,,,85.04652690002695,85.04652690002695,85.04652690002695,85.04652690002695,85.04652690002695,p,0.03651509992778301,85.09252139995806,85.1065601001028,85.1065601001028,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
77,0,77,0,,,,,,,,,,,,,,,,,85.5119801000692,85.5119801000692,85.5119801000692,85.5119801000692,85.5119801000692,q,0.00815559970214963,85.52996820001863,85.54380900016986,85.54380900016986,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
78,0,78,0,,,,,,,,,,,,,,,,,85.9500829000026,85.9500829000026,85.9500829000026,85.9500829000026,85.9500829000026,w,0.3485759999603033,86.30875200009905,86.32176510011777,86.32176510011777,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
79,0,79,0,,,,,0,0,0,0,,,,,,,,,86.72719020000659,86.72719020000659,86.72719020000659,86.72719020000659,86.72719020000659,p,0.047253299970179796,86.78047790005803,86.79404289997183,86.79404289997183,87.19726600009017,87.19726600009017,87.19726600009017,5709,space,2.196708400035277,89.40575030003674,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
80,0,80,0,0,0,0,0,,,,,,,,,89.80974230007268,89.80974230007268,space,0.7580816999543458,,,,,,,,,,,,,,,,,,121,sdfsdf,2023-04-13_23h14.27.957,bandit task,2022.2.5,144.1541177202233,
