newtrials.thisRepN,newtrials.thisTrialN,newtrials.thisN,newtrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,newintrotext.started,newintroresp.started,newintroresp.keys,newintroresp.rt,key_resp_2.started,reme_t.started,key_resp_2.keys,key_resp_2.rt,newkeyresp.started,nQ.started,nW.started,nO.started,nP.started,newkeyresp.keys,newkeyresp.rt,text_7.started,text.started,text_7.stopped,text.stopped,text_6.started,textbox.started,key_resp_3.started,textbox.text,key_resp_3.keys,key_resp_3.rt,text_2.started,Roll Number,Name,date,expName,psychopyVersion,frameRate,
16,0,16,0,,,,,,,,,,,,,,,,,32.87597349984571,32.87597349984571,32.87597349984571,32.87597349984571,32.87597349984571,q,0.08105619996786118,32.96581249986775,32.977118300041184,32.977118300041184,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
17,0,17,0,,,,,,,,,,,,,,,,,33.383206399856135,33.383206399856135,33.383206399856135,33.383206399856135,33.383206399856135,o,0.0392340999096632,33.43023970001377,33.44294219999574,33.44294219999574,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
18,0,18,0,,,,,,,,,,,,,,,,,33.848119099857286,33.848119099857286,33.848119099857286,33.848119099857286,33.848119099857286,o,0.09687760006636381,33.95093999989331,33.96359759988263,33.96359759988263,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
19,0,19,0,,,,,0,0,0,0,,,,,,,,,34.36938569997437,34.36938569997437,34.36938569997437,34.36938569997437,34.36938569997437,p,0.06698990007862449,34.44483149982989,34.45636029983871,34.45636029983871,,34.85918339993805,34.85918339993805,34.85918339993805,225,space,3.2854329000692815,38.15498590003699,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
20,0,20,0,0,0,0,0,,,,,,,,,38.56291799992323,38.56291799992323,space,2.0280836999882013,,,,,,,,,,,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
20,0,20,0,,,,,,,,,,,,,,,,,40.605060199974105,40.605060199974105,40.605060199974105,40.605060199974105,40.605060199974105,q,0.7377822999842465,41.35279559995979,41.36605129996315,41.36605129996315,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
21,0,21,0,,,,,,,,,,,,,,,,,41.772687499877065,41.772687499877065,41.772687499877065,41.772687499877065,41.772687499877065,w,0.024398300098255277,41.80496839992702,41.81808839994483,41.81808839994483,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
22,0,22,0,,,,,,,,,,,,,,,,,42.224019799847156,42.224019799847156,42.224019799847156,42.224019799847156,42.224019799847156,o,0.054652499966323376,42.28374630003236,42.2966032999102,42.2966032999102,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
23,0,23,0,,,,,,,,,,,,,,,,,42.70251299999654,42.70251299999654,42.70251299999654,42.70251299999654,42.70251299999654,p,0.018260299926623702,42.72912919986993,42.74126259982586,42.74126259982586,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
24,0,24,0,,,,,,,,,,,,,,,,,43.147511899936944,43.147511899936944,43.147511899936944,43.147511899936944,43.147511899936944,p,0.02477880008518696,43.18102080002427,43.1928242999129,43.1928242999129,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
25,0,25,0,,,,,,,,,,,,,,,,,43.59839449985884,43.59839449985884,43.59839449985884,43.59839449985884,43.59839449985884,p,0.03885550005361438,43.6541216999758,43.65901609999128,43.65901609999128,44.063658399973065,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
26,0,26,0,,,,,,,,,,,,,,,,,44.063658399973065,44.063658399973065,44.063658399973065,44.063658399973065,44.063658399973065,o,0.4314941999036819,44.50636569992639,44.51880129985511,44.51880129985511,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
27,0,27,0,,,,,,,,,,,,,,,,,44.924918399890885,44.924918399890885,44.924918399890885,44.924918399890885,44.924918399890885,o,0.0638011998962611,44.998853399883956,45.0121899000369,45.0121899000369,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
28,0,28,0,,,,,,,,,,,,,,,,,45.41717140004039,45.41717140004039,45.41717140004039,45.41717140004039,45.41717140004039,w,0.09858760004863143,45.52754499996081,45.53972919983789,45.53972919983789,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
29,0,29,0,,,,,,,,,,,,,,,,,45.94629799993709,45.94629799993709,45.94629799993709,45.94629799993709,45.94629799993709,w,0.07596980012021959,46.02765129995532,46.03969589993358,46.03969589993358,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
30,0,30,0,,,,,,,,,,,,,,,,,46.445216099964455,46.445216099964455,46.445216099964455,46.445216099964455,46.445216099964455,p,0.46340800006873906,46.916505499975756,46.93059839983471,46.93059839983471,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
31,0,31,0,,,,,,,,,,,,,,,,,47.334822699893266,47.334822699893266,47.334822699893266,47.334822699893266,47.334822699893266,p,0.0931420000270009,47.43894839985296,47.44944029999897,47.44944029999897,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
32,0,32,0,,,,,,,,,,,,,,,,,47.85558629990555,47.85558629990555,47.85558629990555,47.85558629990555,47.85558629990555,q,0.08767460007220507,47.95095800003037,47.963719399878755,47.963719399878755,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
33,0,33,0,,,,,,,,,,,,,,,,,48.368982000043616,48.368982000043616,48.368982000043616,48.368982000043616,48.368982000043616,q,0.1157043999992311,48.49327039998025,48.50519699999131,48.50519699999131,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
34,0,34,0,,,,,,,,,,,,,,,,,48.91042930004187,48.91042930004187,48.91042930004187,48.91042930004187,48.91042930004187,o,0.04175779991783202,48.959183800034225,48.970427399966866,48.970427399966866,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
35,0,35,0,,,,,,,,,,,,,,,,,49.37638689996675,49.37638689996675,49.37638689996675,49.37638689996675,49.37638689996675,o,0.06129080010578036,49.44549579988234,49.456795800011605,49.456795800011605,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
36,0,36,0,,,,,,,,,,,,,,,,,49.86298340000212,49.86298340000212,49.86298340000212,49.86298340000212,49.86298340000212,p,0.06316279992461205,49.93602210003883,49.94931659987196,49.94931659987196,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
37,0,37,0,,,,,,,,,,,,,,,,,50.35580569994636,50.35580569994636,50.35580569994636,50.35580569994636,50.35580569994636,p,0.03489429992623627,50.40149539988488,50.414554100017995,50.414554100017995,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
38,0,38,0,,,,,,,,,,,,,,,,,50.81993049988523,50.81993049988523,50.81993049988523,50.81993049988523,50.81993049988523,o,0.05800439999438822,50.888470500009134,50.90093140001409,50.90093140001409,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
39,0,39,0,,,,,0,0,0,0,,,,,,,,,51.30684360000305,51.30684360000305,51.30684360000305,51.30684360000305,51.30684360000305,o,0.04476229986175895,51.36071939999238,51.37354329996742,51.37354329996742,,51.776205299887806,51.776205299887806,51.776205299887806,608,space,2.9491806000005454,54.736567799933255,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfgfd,sdfsdf,2023-04-14_09h45.15.108,bandit task,2022.2.5,144.8349680312395,
,,,,,,,,,,,,,,,,55.13970439997502,55.13970439997502,,,,,,,,,,,,,,,,,,,,,,,,,,,
