Roll Number, Payoff Condition, Trial Number, Total Reward, Repeat Choices
2, Low Var,12,702.9678112,4
2, Low Var,14,820.5052085,5
2, Low Var,16,930.8460308,7
2, Low Var,18,1049.955578,9
2, IOWA,0,28.70237659,0
2, IOWA,2,131.244438,0
2, IOWA,4,237.0296837,0
2, IOWA,6,330.3745877,0
2, IOWA,8,440.9106922,0
2, IOWA,10,550.9696016,2
2, IOWA,12,651.5797731,4
2, IOWA,14,763.3350995,6
2, IOWA,16,876.2597386,8
2, IOWA,18,989.5359774,10
2, High Var,0,37.75183512,0
2, High Var,2,131.9791331,0
2, High Var,4,240.5283963,1
2, High Var,6,353.7593572,3
2, High Var,8,479.3212402,4
2, High Var,10,585.3412783,6
2, High Var,12,697.6664735,8
2, High Var,14,766.5532632,8
2, High Var,16,862.321432,9
2, High Var,18,974.5146834,9
2, High Var,0,53.43812498,0
2, High Var,2,163.3426617,0
2, High Var,4,236.4349322,0
2, High Var,6,336.1847582,0
2, High Var,8,424.3744817,0
2, High Var,10,501.3288977,0
2, High Var,12,596.3183669,0
2, High Var,14,699.4369267,0
2, High Var,16,790.2062939,0
2, High Var,18,864.3356958,0
2, Low Var,0,43.64019852,0
2, Low Var,2,136.8537659,0
2, Low Var,4,240.1471164,0
2, Low Var,6,319.5382273,0
2, Low Var,8,415.8212467,0
2, Low Var,10,499.6822442,0
2, Low Var,12,564.0834139,0
2, Low Var,14,673.6474401,0
2, Low Var,16,767.1012439,0
2, Low Var,18,872.3394154,1
2, Equal Means,0,35.80815053,0
2, Equal Means,2,117.8186176,0
2, Equal Means,4,209.3915256,0
2, Equal Means,6,317.7463231,0
2, Equal Means,8,428.9104963,0
2, Equal Means,10,517.7068167,0
2, Equal Means,12,607.2684674,0
2, Equal Means,14,720.644897,2
2, Equal Means,16,809.7543005,3
2, Equal Means,18,915.8120367,4
3, IOWA,0,33.99639752,0
3, IOWA,2,96.28289339,0
3, IOWA,4,188.9953952,0
3, IOWA,6,253.9654117,0
3, IOWA,8,339.3717203,0
3, IOWA,10,450.8948412,0
3, IOWA,12,544.5089381,0
3, IOWA,14,643.1611859,2
3, IOWA,16,745.7480109,4
3, IOWA,18,844.792129,6
3, Equal Means,0,47.01201372,0
3, Equal Means,2,116.5558584,0
3, Equal Means,4,193.8081205,0
3, Equal Means,6,290.9818938,1
3, Equal Means,8,385.7012097,3
3, Equal Means,10,468.3280061,5
3, Equal Means,12,567.8396309,7
3, Equal Means,14,676.328434,9
3, Equal Means,16,775.5779013,11
3, Equal Means,18,869.2448271,11
3, High Var,0,39.50687388,0
3, High Var,2,113.1363397,0
