Roll Number, Payoff Condition, Avg Reward, Repeat Choices
1, IOWA,30.4153353,0.533333333
1, Equal Means,21.95953917,0.416666667
1, Low Var,20.87345473,0.466666667
1, High Var,15.28763887,0.333333333
2, IOWA,40.30648187,0.616666667
2, Equal Means,20.11496172,0.266666667
2, Low Var,31.04460805,0.283333333
2, High Var,27.84289865,0.316666667
3, IOWA,26.65140367,0.433333333
3, Equal Means,29.00680984,0.45
3, Low Var,28.83339165,0.333333333
3, High Var,27.65595297,0.55
4, IOWA,43.37407594,0.75
4, Equal Means,21.89897402,0.383333333
4, Low Var,33.21017685,0.433333333
4, High Var,32.34861922,0.45
200550, IOWA,30.34888359,0.283333333
200550, Equal Means,25.31292378,0.2
200550, Low Var,15.91772747,0.133333333
200550, High Var,25.52525883,0.266666667
006, IOWA, 52.482517131234026, 0.95
006, Equal Means, 39.65583637136428, 0.6166666666666667
006, Low Var, 25.908475921818916, 0.4666666666666667
006, High Var, 40.35178360177793, 0.6333333333333333
007, IOWA, 51.0756907035694, 0.5666666666666667
007, Equal Means, 39.66489059290025, 0.3333333333333333
007, Low Var, 24.969242399861976, 0.11666666666666667
007, High Var, 36.127390963102044, 0.3
008, IOWA, 51.81833477381227, 0.8166666666666667
008, Equal Means, 25.22690363787211, 0.38333333333333336
008, Low Var, 37.684203486407355, 0.48333333333333334
008, High Var, 39.55713515207408, 0.6333333333333333
009, IOWA, 47.28810945830933, 0.55
009, Equal Means, 20.70536140589524, 0.25
009, Low Var, 30.910016507858852, 0.26666666666666666
009, High Var, 28.863977392563765, 0.3
010, IOWA, 30.6991035371306, 0.3333333333333333
010, Equal Means, 32.45720705427093, 0.2
010, Low Var, 32.13351972368823, 0.26666666666666666
010, High Var, 31.589713848028563, 0.2833333333333333
011, IOWA, 42.2533968717462, 1.0833333333333333
011, Equal Means, 21.381165102792984, 0.4166666666666667
011, Low Var, 32.02701529288952, 0.8
011, High Var, 32.05290920862203, 0.8166666666666667
012, IOWA, 43.959237693851165, 0.5
012, Equal Means, 23.024005005284586, 0.48333333333333334
012, Low Var, 35.16717422725286, 0.7666666666666667
012, High Var, 34.136637545295585, 0.4166666666666667
013, IOWA, 46.45791558693783, 0.5833333333333334
013, Equal Means, 34.59046413223271, 0.3
013, Low Var, 23.526316276077548, 0.26666666666666666
013, High Var, 23.15505549730883, 0.4
014, IOWA, 35.217628830002624, 0.25
014, Equal Means, 36.27686997067973, 0.05
014, Low Var, 28.749496912230303, 0.2
014, High Var, 36.68670532549017, 0.4666666666666667
015, IOWA, 41.70347465611673, 0.4166666666666667
015, Equal Means, 31.479787374606317, 0.3333333333333333
015, Low Var, 22.802170557818226, 0.2833333333333333
015, High Var, 32.44224855456799, 0.3
