Roll Number, Payoff Condition, Avg Reward, Repeat Choices
1, IOWA,45.92535905,0.283333333
1, Equal Means,39.57650505,0.533333333
1, Low Var,45.69354715,0.766666667
1, High Var,32.99866472,0.55
2, IOWA,76.24703584,0.683333333
2, Equal Means,32.98362845,0.3
2, Low Var,55.29484701,0.266666667
2, High Var,37.57348753,0.383333333
3, IOWA,47.89225829,0.6
3, Equal Means,21.25251244,0.133333333
3, Low Var,25.08337453,0.35
3, High Var,37.34524706,0.55
4, IOWA,62.38276258,0.45
4, Equal Means,59.54518212,0.3
4, Low Var,43.60020949,0.466666667
4, High Var,62.30098382,0.433333333
200550, IOWA,88.36760217,0.666666667
200550, Equal Means,61.34278701,0.483333333
200550, Low Var,42.44718501,0.316666667
200550, High Var,44.80253186,0.366666667
006, IOWA, 72.2245759887092, 1.1
006, Equal Means, 30.41709052766901, 0.45
006, Low Var, 48.86259776476098, 0.85
006, High Var, 36.119562241741974, 0.5666666666666667
007, IOWA, 38.56255841228857, 0.38333333333333336
007, Equal Means, 24.90243785948097, 0.38333333333333336
007, Low Var, 38.024839422835186, 0.48333333333333334
007, High Var, 40.79930183957826, 0.3333333333333333
008, IOWA, 66.55954696703351, 0.7333333333333333
008, Equal Means, 44.30647707294913, 0.43333333333333335
008, Low Var, 34.650703918925316, 0.45
008, High Var, 32.84130304033747, 0.4666666666666667
009, IOWA, 59.63756321292043, 0.21666666666666667
009, Equal Means, 55.71453242904955, 0.25
009, Low Var, 39.25664108157819, 0.18333333333333332
009, High Var, 56.923737554504946, 0.25
010, IOWA, 41.963473497873096, 0.5666666666666667
010, Equal Means, 23.990696889520752, 0.18333333333333332
010, Low Var, 40.73032917095016, 0.6166666666666667
010, High Var, 40.82733553060767, 0.4666666666666667
011, IOWA, 46.798320414965126, 0.43333333333333335
011, Equal Means, 38.814421340234276, 0.55
011, Low Var, 29.985110809883405, 0.4166666666666667
011, High Var, 46.44559850344472, 0.9
012, IOWA, 67.25018257119822, 0.4166666666666667
012, Equal Means, 62.14338874434714, 0.6333333333333333
012, Low Var, 42.80032694171925, 0.4
012, High Var, 68.57645141519858, 0.6
013, IOWA, 87.15003748494338, 0.7166666666666667
013, Equal Means, 59.73881979890198, 0.5333333333333333
013, Low Var, 22.035696776185677, 0.21666666666666667
013, High Var, 66.05297762008327, 0.6833333333333333
014, IOWA, 67.73151345531038, 0.2
014, Equal Means, 31.100551293500896, 0.3
014, Low Var, 50.44969490627094, 0.18333333333333332
014, High Var, 33.97282645515812, 0.06666666666666667
015, IOWA, 54.34656338527541, 0.18333333333333332
015, Equal Means, 47.610791541116654, 0.15
015, Low Var, 53.22941097046107, 0.4
015, High Var, 35.46397226947805, 0.45
