Roll Number, Payoff Condition, Trial Count, Total Reward, Repeat Choices
2, Low Var,12,673.624524,1
2, Low Var,14,782.9401772,1
2, Low Var,16,889.0133776,1
2, Low Var,18,998.512063,1
2, Low Var,20,1099.209555,1
2, IOWA,0,63.96953262,0
2, IOWA,2,159.7772965,0
2, IOWA,4,253.8948015,0
2, IOWA,6,367.5594462,2
2, IOWA,8,493.3466997,4
2, IOWA,10,603.1554381,6
2, IOWA,12,715.5627864,8
2, IOWA,14,802.5529516,8
2, IOWA,16,897.6564396,8
2, IOWA,18,1012.194663,10
2, IOWA,20,1133.451044,12
2, Low Var,0,39.82038645,0
2, Low Var,2,120.3686879,2
2, Low Var,4,217.2901708,2
2, Low Var,6,341.9475286,3
2, Low Var,8,457.6789149,5
2, Low Var,10,554.7125845,5
2, Low Var,12,636.1830714,5
2, Low Var,14,754.0992391,6
2, Low Var,16,852.3413538,7
2, Low Var,18,954.8620817,7
2, Low Var,20,1059.229575,7
2, Equal Means,0,49.90420482,0
2, Equal Means,2,139.3556725,2
2, Equal Means,4,220.0403932,2
2, Equal Means,6,313.1011378,2
2, Equal Means,8,407.9786463,4
2, Equal Means,10,500.8822842,4
2, Equal Means,12,593.2852234,4
2, Equal Means,14,686.7858509,6
2, Equal Means,16,775.9232906,6
2, Equal Means,18,873.1000091,7
2, Equal Means,20,977.9568852,9
2, High Var,0,30.66444622,0
2, High Var,2,136.4793405,0
2, High Var,4,242.8458,2
2, High Var,6,339.7505809,4
2, High Var,8,412.0038209,4
2, High Var,10,543.4288378,6
2, High Var,12,641.3777546,6
2, High Var,14,730.2156316,7
2, High Var,16,856.1467861,9
2, High Var,18,986.446727,11
2, High Var,20,1101.060227,13
2, Equal Means,0,49.21332725,0
2, Equal Means,2,141.811488,2
2, Equal Means,4,242.8871419,4
2, Equal Means,6,336.3506708,5
2, Equal Means,8,433.2123124,7
2, Equal Means,10,533.5845004,7
2, Equal Means,12,633.5864767,7
2, Equal Means,14,725.7426967,8
2, Equal Means,16,819.2271378,9
2, Equal Means,18,904.1199972,9
2, Equal Means,20,1001.060822,9
2, Equal Means,0,45.88924047,0
2, Equal Means,2,134.3032193,2
2, Equal Means,4,227.7313097,3
2, Equal Means,6,331.0558991,4
2, Equal Means,8,440.3520734,4
3, IOWA,0,18.11584069,0
3, IOWA,2,76.00039974,1
3, IOWA,4,149.5999968,1
3, IOWA,6,218.6558721,2
3, IOWA,8,266.249208,2
3, IOWA,10,338.8160528,3
3, IOWA,12,422.8681126,4
3, IOWA,14,497.8780677,4
3, IOWA,16,546.1572639,4
3, IOWA,18,582.5377181,4
3, IOWA,20,662.8027751,4
3, IOWA,0,38.2798768,0
3, IOWA,2,96.07027212,0
3, IOWA,4,164.3623771,0
3, IOWA,6,221.3883272,0
3, IOWA,8,279.5467904,0
3, IOWA,10,334.8927646,0
3, IOWA,12,417.130408,2
3, IOWA,14,490.6183709,4
3, IOWA,16,574.9671579,6
3, IOWA,18,651.4505756,8
3, IOWA,20,724.8527253,10
3, Equal Means,0,27.18341216,0
3, Equal Means,2,88.38042826,0
3, Equal Means,4,139.6442722,1
3, Equal Means,6,204.867681,1
3, Equal Means,8,264.9179335,1
3, Equal Means,10,323.0711153,1
3, Equal Means,12,374.5431816,1
3, Equal Means,14,428.135725,1
3, Equal Means,16,478.6722787,1
3, Equal Means,18,535.9731048,1
3, Equal Means,20,606.2513982,1
3, IOWA,0,33.79027535,0
3, IOWA,2,78.15817487,0
3, IOWA,4,119.5884023,0
3, IOWA,6,218.9440562,0
3, IOWA,8,271.7487417,0
3, IOWA,10,355.294958,0
3, IOWA,12,432.6437951,1
3, IOWA,14,518.786102,2
3, IOWA,16,599.7954422,4
3, IOWA,18,672.3984769,4
3, IOWA,20,709.3068855,4
3, Equal Means,0,41.69144717,0
3, Equal Means,2,103.6721721,0
3, Equal Means,4,163.4309318,2
3, Equal Means,6,222.4363335,3
3, Equal Means,8,281.1462269,5
3, Equal Means,10,346.1450928,5
3, Equal Means,12,396.2671951,5
3, Equal Means,14,463.0789361,5
3, Equal Means,16,519.0814707,5
3, Equal Means,18,590.6183172,6
3, Equal Means,20,668.8993479,7
